"deviceid","c_group","c_start","c_coordinates","X_c_coordinates_latitude","X_c_coordinates_longitude","X_c_coordinates_altitude","X_c_coordinates_precision","c_neighborhood","c_rainweek","c_participant_num","c_participant_gender","c_participant_female_obs","c_participant_male_obs","c_participant_female","c_participant_male","c_neighborhood_y","c_neighborhood_n","c_c_y","c_c_n","c_s_a","c_s_a_note","c_s_a_note_2","c_s_a_3","c_s_a_2","c_s_a_1","c_s_a_0","c_s_a_na","c_d_a","c_d_a_note","c_d_a_note_2","c_d_a_3","c_d_a_2","c_d_a_1","c_d_a_0","c_d_a_na","c_f_a","c_f_a_note","c_f_a_note_2","c_f_a_3","c_f_a_2","c_f_a_1","c_f_a_0","c_f_a_na","c_dw_a","c_dw_a_note","c_dw_a_note_2","c_dw_a_3","c_dw_a_2","c_dw_a_1","c_dw_a_0","c_dw_a_na","c_dw_e_wt","c_dw_e_wt_note","c_dw_e_wt_note_2","c_dw_e_wt_1","c_dw_e_wt_0","c_dw_e_wt_na","c_o_a","c_o_a_note","c_o_a_note_2","c_o_a_3","c_o_a_2","c_o_a_1","c_o_a_0","c_o_a_na","c_bw_a","c_bw_a_note","c_bw_a_note_2","c_bw_a_3","c_bw_a_2","c_bw_a_1","c_bw_a_0","c_bw_a_na","c_p_a","c_p_a_note","c_p_a_note_2","c_p_a_3","c_p_a_2","c_p_a_1","c_p_a_0","c_p_a_na","c_p_e_note","c_p_e_note_2","c_p_e_2","c_p_e_1","c_p_e_na","c_sf_a","c_sf_a_note","c_sf_a_note_2","c_sf_a_3","c_sf_a_2","c_sf_a_1","c_sf_a_0","c_sf_a_na","c_l_a","c_l_a_note","c_l_a_note_2","c_l_a_3","c_l_a_2","c_l_a_1","c_l_a_0","c_l_a_na","c_pl_a_th","c_pl_a_th_note","c_pl_a_th_note_2","c_pl_a_th_1","c_pl_a_th_0","c_pl_a_th_na","c_pl_a_tu_note","c_pl_a_tu_1","c_pl_a_tu_0","c_pl_a_tu_na","c_pl_a_tu_nl","c_pl_a_tw_note","c_pl_a_tw_note_2","c_pl_a_tw_1","c_pl_a_tw_0","c_pl_a_tw_na","c_pl_a_tw_nl","c_pl_a_tf_note","c_pl_a_tf_note_2","c_pl_a_tf_1","c_pl_a_tf_0","c_pl_a_tf_na","c_pl_a_tf_nl","c_mid","c_participant_female_obs_mid","c_participant_male_obs_mid","c_s_c","c_s_c_note","c_s_c_note_2","c_s_c_3","c_s_c_2","c_s_c_1","c_s_c_0","c_s_c_na","c_d_c","c_d_c_note","c_d_c_note_2","c_d_c_3","c_d_c_2","c_d_c_1","c_d_c_0","c_d_c_na","c_f_c","c_f_c_note","c_f_c_note_2","c_f_c_3","c_f_c_2","c_f_c_1","c_f_c_0","c_f_c_na","c_dw_c","c_dw_c_note","c_dw_c_note_2","c_dw_c_3","c_dw_c_2","c_dw_c_1","c_dw_c_0","c_dw_c_na","c_odw_c","c_o_c_note","c_o_c_note_2","c_o_c_3","c_o_c_2","c_o_c_1","c_o_c_0","c_o_c_na","c_bw_c","c_bw_c_note","c_bw_c_note_2","c_bw_c_3","c_bw_c_2","c_bw_c_1","c_bw_c_0","c_bw_c_na","c_p_c","c_p_c_note","c_p_c_note_2","c_p_c_3","c_p_c_2","c_p_c_1","c_p_c_0","c_p_c_na","c_sf_c","c_sf_c_note","c_sf_c_note_2","c_sf_c_3","c_sf_c_2","c_sf_c_1","c_sf_c_0","c_sf_c_na","c_l_c","c_l_c_note","c_l_c_note_2","c_l_c_3","c_l_c_2","c_l_c_1","c_l_c_0","c_l_c_na","c_end","c_participant_female_obs_end","c_participant_male_obs_end","c_notes","c_enum","X__version__","X_id","X_uuid","X_submission_time","X_index","c_extra_data","dply_num","c_f_weekly","c_UID","c_date","neighb_num"
359925061283656,"GROUP-A","2017-06-14T11:54:00.019+06","23.779684560767826 90.3409758813692 -79.0 0.0",23.77968456,90.34097588,-79,0,3,1,16,2,10,6,10,6,16,0,3,13,,,,2,0,0,11,3,,,,6,0,1,4,5,,,,12,0,0,0,4,,,,1,1,0,11,3,,,,1,13,2,,,,,,,,,,,,3,5,3,0,5,,,,1,0,1,10,4,,,14,0,2,,,,11,0,0,2,3,,,,6,0,4,1,5,,,,0,15,1,,0,6,2,8,,,1,13,1,1,,,0,0,2,14,,,,,,,0,0,0,3,0,,,,2,0,1,0,0,,,,3,0,0,0,0,,,,0,0,0,3,0,,,,,,,,,,,,0,3,0,0,0,,,,0,0,1,0,2,,,,1,0,0,0,2,,,,2,1,0,0,0,,10,6,,"37",,4541,"fb170ca8-35d9-4f1d-af63-10759dbfdc8b","2017-06-18T09:29:49",11,,2,1,"02_1010",2017-06-14,203
359925061276692,"GROUP-C","2017-06-14T12:45:00.236+06","23.698882595986294 90.43025868575725 -10.0 0.0",23.6988826,90.43025869,-10,0,7,1,16,2,14,2,14,2,16,0,14,2,,,,5,2,4,5,0,,,,10,1,1,3,1,,,,10,0,3,2,1,,,,14,0,0,1,0,,,,7,8,0,,,,,,,,,,,,3,12,0,0,0,,,,9,0,4,0,2,,,14,2,0,,,,5,6,5,0,0,,,,14,0,0,2,0,,,,2,14,0,,15,0,0,0,,,13,2,0,0,,,13,2,0,0,,,,,,,10,4,0,0,0,,,,5,8,0,0,0,,,,10,0,2,2,0,,,,14,0,0,0,0,,,,,,,,,,,,13,0,0,0,0,,,,4,0,2,4,3,,,,11,1,1,0,0,,,,11,0,0,2,0,,14,2,"","21",,4542,"4eb5f028-7bb7-4b46-ac94-4b7762424b93","2017-06-18T09:29:50",12,,2,1,"02_1011",2017-06-14,207
359925061279597,"GROUP-D","2017-06-14T11:58:00.720+06","23.779397232050133 90.34021050479576 -76.13229100499302 10.0",23.77939723,90.3402105,-76.13229101,10,3,1,20,2,19,1,19,1,18,2,18,2,,,,19,1,0,0,0,,,,12,1,0,5,2,,,,15,1,1,2,1,,,,3,0,1,9,7,,,,1,18,0,,,,,,,,,,,,2,12,1,0,4,,,,9,0,4,1,6,,,13,6,1,,,,9,3,1,2,5,,,,14,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,3,3,3,,,,7,5,2,3,0,,,,0,9,1,2,4,,,,0,0,0,16,0,,,,,,,,,,,,7,5,3,0,0,,,,7,3,0,2,3,,,,7,6,1,1,0,,,,10,1,1,0,3,,14,1,,"33",,4543,"c4d560df-a86a-445d-be47-e2aefd6a429f","2017-06-18T09:30:24",13,,2,1,"02_1012",2017-06-14,203
359925061326661,"GROUP-C","2017-06-14T12:03:00.414+06","23.724255052404683 90.42749958312521 -95.0 0.0",23.72425505,90.42749958,-95,0,6,1,17,1,,,,,17,0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,,,,0,17,0,,,,,,,,,,,,8,2,7,0,0,,,,9,2,0,3,3,,,15,2,0,,,,7,4,6,0,0,,,,17,0,0,0,0,,,,0,17,0,,0,0,0,17,,,0,0,0,17,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0,0,,,,,,,,,,,,14,0,0,0,0,,,,12,1,0,1,0,,,,10,4,0,0,0,,,,14,0,0,0,0,,,,"17","45",,4550,"f52dfb85-f4a4-4e95-88c2-7c33e849f267","2017-06-18T09:33:25",14,,2,1,"02_1013",2017-06-14,206
359925061326661,"GROUP-C","2017-06-14T12:03:00.414+06","23.724255052404683 90.42749958312521 -95.0 0.0",23.72425505,90.42749958,-95,0,6,1,17,1,,,,,17,0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,,,,0,17,0,,,,,,,,,,,,8,2,7,0,0,,,,9,2,0,3,3,,,15,2,0,,,,7,4,6,0,0,,,,17,0,0,0,0,,,,0,17,0,,0,0,0,17,,,0,0,0,17,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0,0,,,,,,,,,,,,14,0,0,0,0,,,,12,1,0,1,0,,,,10,4,0,0,0,,,,14,0,0,0,0,,,,"17","45",,4551,"9c9c89cc-a170-4637-940a-c550f7bdc013","2017-06-18T09:34:06",15,,2,1,"02_1014",2017-06-14,206
359925061257478,"GROUP-A","2017-06-14T13:15:00.376+06","23.70704207220844 90.4258564666114 -44.0 0.0",23.70704207,90.42585647,-44,0,7,1,20,2,9,11,9,11,20,0,14,6,,,,7,2,1,10,0,,,,12,1,3,1,3,,,,9,2,3,3,2,,,,13,2,1,2,1,,,,6,13,0,,,,,,,,,,,,10,1,0,3,5,,,,14,1,2,0,2,,,16,3,0,,,,0,11,8,0,0,,,,6,8,5,0,0,,,,0,19,0,,19,0,0,0,,,10,9,0,0,,,10,9,0,0,,,,,,,6,3,3,2,0,,,,12,1,1,0,0,,,,12,1,0,1,0,,,,10,2,0,0,2,,,,,,,,,,,,13,1,0,0,0,,,,1,12,1,0,0,,,,13,1,0,0,0,,,,10,0,2,1,1,,8,9,,"18",,4552,"17b214b4-052a-46ca-81c5-695a359cca5d","2017-06-18T09:36:36",16,,2,1,"02_1015",2017-06-14,207
359925061326661,"GROUP-B","2017-06-14T12:28:00.230+06","23.72445455533596 90.42750198879705 -56.0 0.0",23.72445456,90.42750199,-56,0,6,1,17,2,11,6,11,6,17,0,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,,,,6,8,2,,,,,,,,,,,,6,4,1,0,5,,,,11,1,0,3,1,,,13,0,3,,,,4,5,5,0,2,,,,13,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,,,,,,,,,,,,4,1,0,0,4,,,,3,0,0,1,5,,,,0,4,0,1,4,,,,6,0,0,0,3,,11,5,"","45",,4555,"e92fffb2-089a-4cf0-8f89-ace4d865866e","2017-06-18T09:37:18",17,,2,1,"02_1016",2017-06-14,206
359925061278375,"GROUP-B","2017-06-15T11:26:00.531+06","23.8228756 90.3782195 0.0 1100.0",23.8228756,90.3782195,0,1100,1,1,20,2,10,10,10,10,20,0,16,4,,,,1,0,6,8,5,,,,16,2,2,0,0,,,,18,1,0,0,0,,,,16,1,1,1,0,,,,1,4,14,,,,,,,,,,,,1,8,2,2,6,,,,13,1,2,1,0,,,15,0,2,,,,7,1,2,7,0,,,,11,3,2,1,0,,,,2,14,1,,2,13,2,0,,,14,0,3,0,,,3,13,0,0,,,,,,,2,2,2,5,5,,,,9,4,2,0,1,,,,10,0,1,2,3,,,,11,3,0,0,0,,,,,,,,,,,,13,1,0,0,0,,,,10,2,2,0,0,,,,11,2,1,0,0,,,,2,4,8,0,0,,10,4,,"29",,4556,"63cd1c9a-f714-40f0-9848-e7ecaca604ff","2017-06-18T09:37:18",18,,2,1,"02_1017",2017-06-15,201
359925061279597,"GROUP-C","2017-06-14T12:04:00.004+06","23.779777058592927 90.3399525902447 -54.0 0.0",23.77977706,90.33995259,-54,0,3,1,12,2,4,8,4,8,11,1,6,6,,,,8,1,1,1,1,,,,2,0,4,3,3,,,,3,1,2,0,6,,,,1,1,0,2,8,,,,1,5,6,,,,,,,,,,,,1,2,1,1,7,,,,5,0,2,0,4,,,7,1,3,,,,4,1,0,1,5,,,,4,0,0,1,5,,,,2,1,7,,3,1,0,6,,,3,2,2,3,,,0,3,7,0,,,,,,,1,0,0,2,4,,,,2,0,0,1,3,,,,2,0,1,0,4,,,,2,0,0,1,4,,,,,,,,,,,,2,0,1,1,3,,,,2,2,1,0,2,,,,1,0,3,2,1,,,,1,1,2,0,3,,4,8,,"33",,4818,"62f09246-9416-4d99-8425-736932a4fdc1","2017-06-19T08:38:26",19,,2,1,"02_1018",2017-06-14,203
359925061276692,"GROUP-B","2017-06-14T13:15:00.926+06","23.70644589147556 90.4261910675171 -41.0 0.0",23.70644589,90.42619107,-41,0,7,1,18,2,12,6,12,6,18,0,14,4,,,,2,1,0,14,1,,,,8,2,2,3,3,,,,10,2,2,2,2,,,,17,0,0,0,1,,,,6,10,2,,,,,,,,,,,,12,5,1,0,0,,,,10,6,0,1,1,,,17,1,0,,,,9,2,4,2,1,,,,11,1,3,3,0,,,,4,13,0,,4,1,0,12,,,15,2,0,0,,,0,5,11,1,,,,,,,9,2,2,1,0,,,,3,8,3,0,0,,,,5,1,5,1,1,,,,12,1,0,0,0,,,,,,,,,,,,9,3,1,0,0,,,,10,3,1,0,0,,,,10,2,0,2,0,,,,7,4,0,3,0,,12,6,"","21",,4819,"c40b24f9-33c7-49f6-ad23-f3071cc35f6e","2017-06-19T08:38:26",20,,2,1,"02_1019",2017-06-14,207
359925061190497,"GROUP-A","2017-06-14T11:52:00.119+06","23.768970219096545 90.43031763542122 -79.0 0.0",23.76897022,90.43031764,-79,0,2,1,18,2,17,1,17,1,18,0,10,8,,,,12,0,6,0,0,,,,18,0,0,0,0,,,,18,0,0,0,0,,,,18,0,0,0,0,,,,6,10,2,,,,,,,,,,,,1,15,2,0,0,,,,12,0,2,4,0,,,17,1,0,,,,8,0,5,4,1,,,,17,1,0,0,0,,,,1,17,0,,18,0,0,0,,,18,0,0,0,,,18,0,0,0,,,,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,,,,,,,,,11,0,0,0,0,,,,9,0,2,0,0,,,,2,5,4,0,0,,,,11,0,0,0,0,,17,1,"","13",,4907,"c401e35b-4cc8-488e-a2b6-dc63e8172698","2017-06-20T03:43:27",21,,2,1,"02_1020",2017-06-14,202
359925061190497,"GROUP-D","2017-06-14T14:41:00.512+06","23.77182680940683 90.42955018741954 -31.0 0.0",23.77182681,90.42955019,-31,0,2,1,18,2,15,3,15,3,18,0,12,6,,,,4,2,1,11,0,,,,12,2,3,1,0,,,,17,0,0,0,0,,,,17,0,0,0,0,,,,3,14,0,,,,,,,,,,,,7,10,0,0,0,,,,12,5,0,0,0,,,16,1,0,,,,12,3,2,0,0,,,,16,0,0,1,0,,,,1,16,0,,17,0,0,0,,,12,5,0,0,,,17,0,0,0,,,,,,,12,0,0,0,0,,,,11,0,0,1,0,,,,12,0,0,0,0,,,,12,0,0,0,0,,,,,,,,,,,,2,10,0,0,0,,,,2,8,2,0,0,,,,5,5,2,0,0,,,,11,0,0,1,0,,14,3,"","13",,4908,"d9989283-578e-41b6-9b90-6f214a510222","2017-06-20T03:43:35",22,,2,1,"02_1021",2017-06-14,202
