start_dt,subscriberid,simserial,deviceid,lab_id,lab_id_val,lab_sample_type,lab_neighborhood,lab_analysis,lab_analysis_method,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_ws_cl_free,lab_ws_cl_total,lab_p_weight,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_reading_idexx,lab_1_ecoli_membrane,lab_1_ecoli_idexx,lab_1_ecoli_big_idexx,lab_1_ecoli_small_idexx,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_reading_idexx,lab_2_ecoli_big_idexx,lab_2_ecoli_small_idexx,lab_2_ecoli_membrane,lab_2_ecoli_idexx,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_dil,lab_3_ecoli_reading_membrane,lab_3_ecoli_reading_idexx,lab_3_ecoli_big_idexx,lab_3_ecoli_small_idexx,lab_3_ecoli_membrane,lab_3_ecoli_idexx,lab_enum,lab_notes,end_dt,meta/instanceID,_uuid,_submission_time
2016-11-16T17:15:50.299-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol005,Sol005,1,1,1,1,2016-11-15T14:00:00.000-05,2016-11-15T15:30:00.000-05,2016-11-16T15:30:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Jk, rh",Negative  control  :  0 . No coliforms  ,2016-11-16T17:44:46.203-05,uuid:f5ba5ffe-2ad7-4fc4-bf19-27c541f3bb19,f5ba5ffe-2ad7-4fc4-bf19-27c541f3bb19,2016-11-19T20:58:15
2016-11-19T16:39:31.338-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol006,Sol006,1,1,1,1,2016-11-18T14:00:00.000-05,2016-11-18T17:30:00.000-05,2016-11-19T17:30:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,1,0,1,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Jk, am, cc","1:1 1 ml - all cells are yellow, 1 small cell fluorescent
1:10 1 ml - all big cells are yellow 
1:100 1 ml - fair amount of big cells are yellow 
Although trays are majority yellow, trays do not reflect plate results. ",2016-11-19T17:55:18.484-05,uuid:09b2917b-bdd5-4a6a-9804-61d84afc1c9e,09b2917b-bdd5-4a6a-9804-61d84afc1c9e,2016-11-19T22:56:48
2016-11-30T16:47:34.676-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol007,Sol007,1,1,1,1,2016-11-28T13:45:00.000-05,2016-11-28T16:30:00.000-05,2016-11-29T16:30:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Cc, sze ,  jg  ",n/a,2016-11-30T16:49:03.173-05,uuid:38c44c12-87fd-4c3e-87b4-0909eee8967a,38c44c12-87fd-4c3e-87b4-0909eee8967a,2016-11-30T22:24:47
2016-11-30T16:46:11.162-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol008,Sol008,1,1,1,1,2016-11-28T13:45:00.000-05,2016-11-28T16:30:00.000-05,2016-11-29T16:30:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Cc, sze ,  jg  ",n/a,2016-11-30T16:47:30.919-05,uuid:397cd300-310d-42b1-9d3b-e862e5b8bd2b,397cd300-310d-42b1-9d3b-e862e5b8bd2b,2016-11-30T22:24:47
2016-11-30T16:44:35.484-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol009,Sol009,1,1,1,1,2016-11-28T13:45:00.000-05,2016-11-28T16:30:00.000-05,2016-11-29T16:30:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,"Cc, sze ,  jg",n/a,2016-11-30T16:46:07.277-05,uuid:cf7b0b5d-481e-4474-9e02-7121fe175b29,cf7b0b5d-481e-4474-9e02-7121fe175b29,2016-11-30T22:24:46
2016-11-30T16:57:52.388-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol010,Sol010,1,1,1,1,2016-11-29T11:30:00.000-05,2016-11-29T14:30:00.000-05,2016-11-30T14:35:00.000-05,n/a,n/a,n/a,7,1,n/a,3,n/a,0,0,0,6,1,n/a,3,0,3,n/a,0,1,5,1,5,n/a,3,0,3,n/a,0,Jk  rh  jg  ,n/a,2016-11-30T16:59:39.665-05,uuid:c8e2a6a2-a013-42a6-80e5-ca31c5c76024,c8e2a6a2-a013-42a6-80e5-ca31c5c76024,2016-11-30T22:24:49
2016-11-09T15:12:55.810-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa001,Swa001,3,1,1,1,2016-11-07T13:30:00.000-05,2016-11-07T14:51:00.000-05,2016-11-08T14:50:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,"Jess, christie",Tray 2: 1 large cell half empty .  tray 3: 1 large  cell empty.,2016-11-09T15:16:56.797-05,uuid:2a72e53e-8946-4927-8283-c871edfda83f,2a72e53e-8946-4927-8283-c871edfda83f,2016-11-09T20:31:07
2016-11-09T15:23:35.083-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa002,Swa002,3,1,1,1,2016-11-07T13:28:00.000-05,2016-11-07T14:51:00.000-05,2016-11-08T14:50:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,"Jessica ,  christie  ",Tray 1 had 1 large  empty cell,2016-11-09T15:25:58.457-05,uuid:1985b9fa-84d9-4de6-970b-902ddaff35a8,1985b9fa-84d9-4de6-970b-902ddaff35a8,2016-11-09T20:31:08
2016-11-16T16:57:27.432-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa003,Swa003,3,1,1,1,2016-11-11T14:15:00.000-05,2016-11-11T17:30:00.000-05,2016-11-12T17:35:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,"Kl, ml",Negative  control  0,2016-11-16T17:40:08.954-05,uuid:01b01125-f90c-42ff-93ff-5fe6d3250a5d,01b01125-f90c-42ff-93ff-5fe6d3250a5d,2016-11-19T20:58:12
2016-11-16T17:30:50.574-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa004,Swa004,3,1,1,1,2016-11-15T14:00:00.000-05,2016-11-15T15:30:00.000-05,2016-11-16T15:30:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,"Jk, rh",Negative control: 0. No coliforms ,2016-11-16T17:33:07.583-05,uuid:b9390815-81d1-4c00-86e8-f812544b2603,b9390815-81d1-4c00-86e8-f812544b2603,2016-11-19T20:58:15
2016-12-07T16:00:36.329-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa005,Swa005,3,1,1,1,2016-12-06T13:00:00.000-05,2016-12-06T14:00:00.000-05,2016-12-07T14:30:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rh,n/a,2016-12-07T16:01:51.300-05,uuid:ed15fb62-ea78-4058-995c-a403de979e8c,ed15fb62-ea78-4058-995c-a403de979e8c,2016-12-10T18:27:25
2016-11-18T16:49:45.071-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa006,Swa006,3,1,1,1,2016-11-17T14:30:00.000-05,2016-11-17T14:30:00.000-05,2016-11-18T14:30:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rr,n/a,2016-11-18T16:53:12.214-05,uuid:5e168869-f665-4382-8715-b06e38e73ad7,5e168869-f665-4382-8715-b06e38e73ad7,2016-11-19T20:58:17
2016-11-19T15:58:37.815-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa007,Swa007,3,1,1,1,2016-11-18T14:00:00.000-05,2016-11-18T15:40:00.000-05,2016-11-19T15:40:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,"Jk, am, cc",n/a,2016-11-19T15:59:55.184-05,uuid:588b5e6d-22db-4ec1-9678-e5e37e7b7d28,588b5e6d-22db-4ec1-9678-e5e37e7b7d28,2016-11-19T21:01:59
2016-11-19T16:36:16.227-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa008,Swa008,3,1,1,1,2016-11-18T14:00:00.000-05,2016-11-18T16:30:00.000-05,2016-11-19T16:30:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,"Jk, am, cc",n/a,2016-11-19T16:37:33.745-05,uuid:5dcc4713-1b31-46b3-9ea7-5773e9465807,5dcc4713-1b31-46b3-9ea7-5773e9465807,2016-11-19T21:40:20
2016-11-30T16:59:43.344-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa009,Swa009,3,1,1,1,2016-11-29T11:47:00.000-05,2016-11-29T14:30:00.000-05,2016-11-30T14:35:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk  rh  jg  ,n/a,2016-11-30T17:01:19.091-05,uuid:dd6e5b42-a2bb-4cec-94c8-b45e3c89ee37,dd6e5b42-a2bb-4cec-94c8-b45e3c89ee37,2016-11-30T22:24:50
2016-12-07T15:57:49.232-05,n/a,n/a,94:B1:0A:E6:CF:E0,Swa010,Swa010,3,1,1,1,2016-12-06T13:00:00.000-05,2016-12-06T14:00:00.000-05,2016-12-07T14:30:00.000-05,n/a,n/a,n/a,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rh,n/a,2016-12-07T15:59:05.903-05,uuid:8cd7d0a2-bc4e-43e7-a609-41b8fc3fd14f,8cd7d0a2-bc4e-43e7-a609-41b8fc3fd14f,2016-12-10T18:23:16
2016-12-09T14:05:51.225-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg001,Veg001,2,1,1,1,2016-12-08T11:00:00.000-05,2016-12-08T13:20:00.000-05,2016-12-09T13:30:00.000-05,n/a,n/a,160,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rh,Tc on all plates,2016-12-09T14:07:41.864-05,uuid:6957f2d8-deb2-4cbc-a5ee-cd895ec34851,6957f2d8-deb2-4cbc-a5ee-cd895ec34851,2016-12-10T18:31:21
2016-12-09T14:09:31.618-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg002,Veg002,2,1,1,1,2016-12-08T11:00:00.000-05,2016-12-08T13:20:00.000-05,2016-12-09T13:30:00.000-05,n/a,n/a,121,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rh,Tc on tray 1,2016-12-09T14:11:03.274-05,uuid:0416f322-0bc2-454f-8325-98ad24d74455,0416f322-0bc2-454f-8325-98ad24d74455,2016-12-12T19:46:26
2016-12-09T14:13:04.865-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg003,Veg003,2,1,1,1,2016-12-08T11:00:00.000-05,2016-12-08T13:20:00.000-05,2016-12-09T13:30:00.000-05,n/a,n/a,94,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rh,No tc,2016-12-09T14:14:35.214-05,uuid:ab178edd-9077-4dc0-911b-972ac8d4df6e,ab178edd-9077-4dc0-911b-972ac8d4df6e,2016-12-10T18:31:28
2016-12-03T15:50:20.159-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg004,Veg004,2,1,1,1,2016-12-02T12:45:00.000-05,2016-12-02T15:44:00.000-05,2016-12-03T15:45:00.000-05,n/a,n/a,49,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Katie Lynch Molly Linbarger,No growth negative control. Coliforms  present  undiluted  10 ml and undiluted  1ml only. Sample weight  49.26g.,2016-12-03T16:25:42.717-05,uuid:47e63947-c46d-4ef4-9421-3c93256cfb26,47e63947-c46d-4ef4-9421-3c93256cfb26,2016-12-05T18:53:58
2016-12-03T16:00:21.282-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg005,Veg005,2,1,1,1,2016-12-02T12:45:00.000-05,2016-12-02T15:44:00.000-05,2016-12-03T15:45:00.000-05,n/a,n/a,253,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Katie Lynch Molly Linbarger,No growth negative control. Many coliforms all dilutions. Sample weight 252.91g.,2016-12-03T16:23:13.422-05,uuid:6e7dcaa0-6ddc-4583-8070-104a3c365e36,6e7dcaa0-6ddc-4583-8070-104a3c365e36,2016-12-05T18:54:00
2016-12-03T16:03:23.138-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg006,Veg006,2,1,1,1,2016-12-02T12:45:00.000-05,2016-12-02T15:44:00.000-05,2016-12-03T15:45:00.000-05,n/a,n/a,153,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Katie Lynch  Molly Linbarger,No growth negative control. Coliforms present all dilutions. Sample wt 153.08 g.,2016-12-03T16:19:49.476-05,uuid:4853a51f-0b03-4a68-8527-eb93839d1f2a,4853a51f-0b03-4a68-8527-eb93839d1f2a,2016-12-05T18:54:01
2016-12-02T17:32:25.692-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg007,Veg007,2,1,1,1,2016-12-01T12:54:00.000-05,2016-12-01T16:30:00.000-05,2016-12-02T16:30:00.000-05,n/a,n/a,208,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Katie Lynch Jessica Korona,Coliforms  present  all  dilution. No growth  negative control. Sample  weight 208.44 g.,2016-12-03T16:31:08.478-05,uuid:69b8564a-6969-40ac-9b96-c8b977d3678b,69b8564a-6969-40ac-9b96-c8b977d3678b,2016-12-05T18:53:57
2016-12-02T17:34:55.808-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg008,Veg008,2,1,1,1,2016-12-01T12:54:00.000-05,2016-12-01T16:30:00.000-05,2016-12-02T16:30:00.000-05,n/a,n/a,179,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Katie  Lynch  Jessica Korona,Coliforms  present  all dilutions. No growth  negative  control. Sample  weight 179.02 g.,2016-12-03T16:33:03.746-05,uuid:5f2c664b-294e-4533-b211-033b91ceb4c2,5f2c664b-294e-4533-b211-033b91ceb4c2,2016-12-05T18:53:57
2016-12-02T17:27:54.264-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg009,Veg009,2,1,1,1,2016-12-01T12:54:00.000-05,2016-12-01T16:30:00.000-05,2016-12-02T16:30:00.000-05,n/a,n/a,43,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Katie Lynch Jessica Korona,Coliforms  present  1:1 10ml. No coliforms  present  1:1 1 ml or 1:10 1 ml dilutions. No growth  negative  control. Sample  weight  42.91 g.,2016-12-03T16:34:49.252-05,uuid:ad334acf-d05e-46a7-ac91-1c6564871fb3,ad334acf-d05e-46a7-ac91-1c6564871fb3,2016-12-05T18:53:56
2016-12-09T14:16:11.890-05,n/a,n/a,94:B1:0A:E6:CF:E0,Veg010,Veg010,2,1,1,1,2016-12-08T11:00:00.000-05,2016-12-08T13:20:00.000-05,2016-12-09T13:30:00.000-05,n/a,n/a,380,7,10,n/a,3,n/a,0,0,0,7,1,n/a,3,0,3,n/a,0,1,6,1,6,n/a,3,0,3,n/a,0,Jk rh,Tc on all trays,2016-12-09T14:17:27.792-05,uuid:4cbf08a1-4a2b-4106-83ea-1c36150c1380,4cbf08a1-4a2b-4106-83ea-1c36150c1380,2016-12-10T18:33:15
2016-11-09T16:44:29.691-05,n/a,n/a,94:B1:0A:E6:CF:E0,Sol001,Sol001,1,1,2,2,2016-11-07T14:30:00.000-05,2016-11-07T16:41:00.000-05,2016-11-08T16:50:00.000-05,n/a,n/a,n/a,7,1,3,n/a,0,n/a,n/a,n/a,6,1,3,n/a,n/a,n/a,0,n/a,1,5,1,5,3,n/a,n/a,n/a,0,n/a,"Jess, Christie , SJR, JAG  ",n/a,2016-11-09T16:47:06.155-05,uuid:97577427-0d7d-4566-9ebb-149d6c6785ec,97577427-0d7d-4566-9ebb-149d6c6785ec,2016-11-09T21:48:22
