start_dt,subscriberid,simserial,deviceid,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_gps_device,col_gps_device_id,col_gps_device_wp,col_gps_device_lat,col_gps_device_lon,col_neighborhood,col_sample_type,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_p_type,col_p_num,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_enum,col_notes,end_dt,meta/instanceID,_uuid,_submission_time
2016-11-10T10:18:15.494+03,n/a,n/a,358239057138523,Sol002,Sol002,2016-11-10T10:19:00.000+03,33.7304395 -84.38236547 267.0 4.0,33.7304395,-84.38236547,267.0,4.0,0,n/a,n/a,n/a,n/a,1,1,4,1,n/a,45,n/a,n/a,n/a,n/a,n/a,n/a,Christie and Jess ,"Close to sewage drains, dog urine, and a cat. Also news team came to President of Georgia state uni's house.",2016-11-10T10:30:23.232+03,uuid:5bb7cfba-b604-4dd6-87e4-73b4fe302d0d,5bb7cfba-b604-4dd6-87e4-73b4fe302d0d,2016-11-10T16:13:35
2016-11-11T10:08:45.039+03,n/a,n/a,358239057138523,Swa003,Swa003,2016-11-11T10:08:00.000+03,33.72449602 -84.38816763 300.0 5.0,33.72449602,-84.38816763,300.0,5.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,1,0,3,1,Jk sy,One room bathroom ,2016-11-11T10:12:33.436+03,uuid:41197621-0e48-4aa5-a4f1-93dc2e830d98,41197621-0e48-4aa5-a4f1-93dc2e830d98,2016-11-11T16:26:55
2016-11-11T10:24:03.207+03,n/a,n/a,358239057138523,Sol003,Sol003,2016-11-11T10:24:00.000+03,33.72650077 -84.38946385 282.0 9.0,33.72650077,-84.38946385,282.0,9.0,0,n/a,n/a,n/a,n/a,1,1,4,1,n/a,25,n/a,n/a,n/a,n/a,n/a,n/a,Jk sy,n/a,2016-11-11T10:27:11.411+03,uuid:58d84450-8733-460c-a7c8-157720da6900,58d84450-8733-460c-a7c8-157720da6900,2016-11-11T16:26:56
2016-11-11T10:39:21.824+03,n/a,n/a,358239057138523,Sol004,Sol004,2016-11-11T10:39:00.000+03,33.7253589 -84.38328139 250.0 9.0,33.7253589,-84.38328139,250.0,9.0,0,n/a,n/a,n/a,n/a,1,1,4,1,n/a,20,n/a,n/a,n/a,n/a,n/a,n/a,Jk sy,Man on field so we did playground,2016-11-11T10:42:22.440+03,uuid:82b69d1c-2535-46f9-80a4-4ca4c341bcdf,82b69d1c-2535-46f9-80a4-4ca4c341bcdf,2016-11-11T16:26:56
2016-11-14T10:58:20.135+03,n/a,n/a,358239057138523,Veg004,Veg004,2016-11-14T10:45:00.000+03,33.72223431 -84.34841974 257.0 5.0,33.72223431,-84.34841974,257.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Red leaf lettuce,1,n/a,n/a,n/a,n/a,"Molly,Renuka","It was difficult to fit the lettuce into the bag, some leaves fell off when transferring from the produce bag to whirly pack. At Kroger 1160 Moreland Ave SE.",2016-11-14T11:07:22.840+03,uuid:f5de66fe-ac4e-4204-b10e-dc4154c2ec99,f5de66fe-ac4e-4204-b10e-dc4154c2ec99,2016-11-14T16:42:44
2016-11-14T11:07:25.569+03,n/a,n/a,358239057138523,Veg005,Veg005,2016-11-14T09:45:00.000+03,33.72226001 -84.34846757 256.0 5.0,33.72226001,-84.34846757,256.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Tomatoes,2,n/a,n/a,n/a,n/a,"Molly,renuka",Tomatoes on Vine. Purchased from Kroger 1160 Moreland Ave SE. ,2016-11-14T11:09:11.585+03,uuid:8a7a6f36-706f-4057-839a-cb124b38fadf,8a7a6f36-706f-4057-839a-cb124b38fadf,2016-11-14T16:42:45
2016-11-14T11:09:14.035+03,n/a,n/a,358239057138523,Veg006,Veg006,2016-11-14T10:45:00.000+03,33.72226901 -84.34849473 255.0 5.0,33.72226901,-84.34849473,255.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Green bell pepper,1,n/a,n/a,n/a,n/a,"Molly, renuka",Purchased from Kroger 1160 Moreland Ave SE,2016-11-14T11:10:34.909+03,uuid:1030fd9d-700b-433d-a6e0-f247e9e778c7,1030fd9d-700b-433d-a6e0-f247e9e778c7,2016-11-14T16:42:45
2016-11-15T10:21:55.752+03,n/a,n/a,358239057138523,Swa004,Swa004,2016-11-15T10:22:00.000+03,33.72506992 -84.3823109 258.0 4.0,33.72506992,-84.3823109,258.0,4.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,1,"Molly, Becky",Handicap stall in women's restroom at DH Stanton park. Swabbed toilet handle and inside door handle. No toilet paper holder in stall. Dead fly in toilet. ,2016-11-15T10:27:59.606+03,uuid:6e5021ab-a591-4d25-baa3-24e448d856fd,6e5021ab-a591-4d25-baa3-24e448d856fd,2016-11-15T16:30:02
2016-11-15T10:36:26.406+03,n/a,n/a,358239057138523,Sol005,Sol005,2016-11-15T10:36:00.000+03,33.72494282 -84.38137787 254.0 5.0,33.72494282,-84.38137787,254.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,2,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,"Becky, molly",Taken from second base area of baseball field at DH Stanton park. ,2016-11-15T10:39:01.357+03,uuid:72ad4b7e-d935-4f86-8bc8-c0e574bce0e0,72ad4b7e-d935-4f86-8bc8-c0e574bce0e0,2016-11-15T16:30:03
2016-11-15T10:50:18.371+03,n/a,n/a,358239057138523,Dwa004,Dwa004,2016-11-15T10:50:00.000+03,33.72697147 -84.39211302 270.0 5.0,33.72697147,-84.39211302,270.0,5.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Becky, Molly",Taken from lower water fountain on first floor of South side medical center. Spout area was fairly dirty when cleaned,2016-11-15T10:53:16.245+03,uuid:bba69087-7eab-4369-b156-d4efc2528d65,bba69087-7eab-4369-b156-d4efc2528d65,2016-11-15T16:30:04
2016-11-17T10:08:57.981+03,n/a,n/a,358239057138523,Swa005,Swa005,2016-11-17T10:09:00.000+03,33.72626009 -84.38932033 293.0 4.0,33.72626009,-84.38932033,293.0,4.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,2,0,25,1,"Jk, cc","Handles on sink wet, made swab wet",2016-11-17T10:25:22.346+03,uuid:0e3e44ff-096f-472f-a038-e9763669de53,0e3e44ff-096f-472f-a038-e9763669de53,2016-11-17T16:04:22
2016-11-17T10:10:56.528+03,n/a,n/a,358239057138523,Swa006,Swa006,2016-11-17T10:11:00.000+03,33.72624306 -84.38915297 293.0 5.0,33.72624306,-84.38915297,293.0,5.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,2,0,25,1,"Cc, jk","One stall and one urinal, sponge/scent object in urinal",2016-11-17T10:25:08.332+03,uuid:8d33355c-281c-48f7-9a2e-06c19080891d,8d33355c-281c-48f7-9a2e-06c19080891d,2016-11-17T16:04:23
2016-11-18T11:29:50.863+03,n/a,n/a,358239057138523,Swa008,Swa008,2016-11-18T11:30:00.000+03,33.72654239 -84.38864046 312.0 5.0,33.72654239,-84.38864046,312.0,5.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,1,0,30,1,"Sze, amrita ",Took sample from faucet handles and then the toilet handle. There was some paper towel in the toilet bowl and it looked clogged. There were 5-6 people in the waiting  room. We took from the general toilet and not the employee ,2016-11-18T11:35:42.596+03,uuid:6621b394-e641-491e-9a73-f74852048ccc,6621b394-e641-491e-9a73-f74852048ccc,2016-11-18T17:55:20
2016-11-18T11:39:14.898+03,n/a,n/a,358239057138523,Sol006,Sol006,2016-11-18T11:40:00.000+03,33.72581024 -84.38905147 267.0 5.0,33.72581024,-84.38905147,267.0,5.0,0,n/a,n/a,n/a,n/a,1,1,2,2,n/a,15,n/a,n/a,n/a,n/a,n/a,n/a,"Sze, amrita ",Took samples around benches and tree stump in the open area within the perimeter of the park. Nobody at the park - 4 corners park. Nobody at youth center. Took 5 samples ,2016-11-18T11:46:09.418+03,uuid:6e7dfb86-86cb-4aac-84ad-ab0a9c43dc7d,6e7dfb86-86cb-4aac-84ad-ab0a9c43dc7d,2016-11-18T17:55:20
2016-11-18T12:01:20.713+03,n/a,n/a,358239057138523,Swa007,Swa007,2016-11-18T12:01:00.000+03,33.72443983 -84.38831419 286.0 13.0,33.72443983,-84.38831419,286.0,13.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,1,0,10,1,"Sze, amrita ",Took faucet handles and toilet handle swabs of 1st bathroom when entering into 1101 Hank Aaron. Only one person in the building who was surprised we wanted samples before they had the chance to clean it. Gentleman who let us in said that more of the public uses this bathroom compared to the others around the corner. There's not been very many people who have been coming by lately ,2016-11-18T12:06:46.388+03,uuid:3d9ecdd7-c5cf-4521-9949-8924b7f8ee8c,3d9ecdd7-c5cf-4521-9949-8924b7f8ee8c,2016-11-18T17:55:21
2016-11-28T10:01:10.742+03,n/a,n/a,358239057138523,Sol009,Sol009,2016-11-28T10:01:00.000+03,33.7265207 -84.38932067 294.0 5.0,33.7265207,-84.38932067,294.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,2,n/a,50,n/a,n/a,n/a,n/a,n/a,n/a,"Renuka,amrita",Near playground but not in play area as that has wood chips. Did not collect near the bench. No one at the park. Lots of leaves on the ground so had to brush them aside ,2016-11-28T10:14:57.047+03,uuid:4231938b-b267-43da-a1be-feff668040d3,4231938b-b267-43da-a1be-feff668040d3,2016-11-28T16:18:09
2016-11-28T10:17:01.944+03,n/a,n/a,358239057138523,Sol007,Sol007,2016-11-28T10:17:00.000+03,33.72564032 -84.38921027 272.0 5.0,33.72564032,-84.38921027,272.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,2,n/a,50,n/a,n/a,n/a,n/a,n/a,n/a,"Renuka, amrita",Took sample near trees close to the youth center. 2 young women walked through park. Sandy dry soil. Park is more grassy than playground,2016-11-28T10:32:59.847+03,uuid:fbf24243-de34-4732-a370-af21bdf41330,fbf24243-de34-4732-a370-af21bdf41330,2016-11-28T16:18:09
2016-11-28T10:33:50.434+03,n/a,n/a,358239057138523,Sol008,Sol008,2016-11-28T10:33:00.000+03,33.72547353 -84.38866811 281.0 5.0,33.72547353,-84.38866811,281.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,1,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,"Renuka, amrita ","This sample is more moist soil and less rock than sol009, in-between trees in center of park, lots of leaves so had to brush them away. No one at park at this time",2016-11-28T10:37:04.031+03,uuid:dbd8f2fd-e4c9-4bc5-ba9b-0549371db8bc,dbd8f2fd-e4c9-4bc5-ba9b-0549371db8bc,2016-11-28T16:18:10
2016-11-29T10:06:53.738+03,n/a,n/a,358239057138523,Sol002,Sol002,2016-11-29T10:07:00.000+03,33.73077481 -84.38179816 259.0 5.0,33.73077481,-84.38179816,259.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,1,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,"Jess, becky",It had rained all the previous night and morning. Was only barely drizzling when we collected the sample ,2016-11-29T10:09:40.599+03,uuid:b3200091-d217-461d-aba9-a0bdf0a37e17,b3200091-d217-461d-aba9-a0bdf0a37e17,2016-11-29T16:20:25
2016-11-29T10:13:55.314+03,n/a,n/a,358239057138523,Sol010,Sol010,2016-11-29T10:14:00.000+03,33.73080733 -84.38170624 270.0 5.0,33.73080733,-84.38170624,270.0,5.0,0,n/a,n/a,n/a,n/a,1,1,4,1,n/a,50,n/a,n/a,n/a,n/a,n/a,n/a,"Jess,becky","Rained the previous night and in the morning. When sample was taken, was a slow drizzle",2016-11-29T10:15:42.286+03,uuid:c32f1862-d76a-45c3-b61a-110ba4195942,c32f1862-d76a-45c3-b61a-110ba4195942,2016-11-29T16:20:25
2016-11-29T10:36:32.258+03,n/a,n/a,358239057138523,Swa009,Swa009,2016-11-29T10:37:00.000+03,33.72669794 -84.39205056 302.0 5.0,33.72669794,-84.39205056,302.0,5.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,1,0,50,1,"Jess, Becky",The swabs seemed soapy after swabbing,2016-11-29T10:39:01.420+03,uuid:6e3854ef-f5fd-403e-939b-fe1fbaf29a9e,6e3854ef-f5fd-403e-939b-fe1fbaf29a9e,2016-11-29T16:20:26
2016-11-29T10:39:04.436+03,n/a,n/a,358239057138523,Dwa003,Dwa003,2016-11-29T10:39:00.000+03,33.72668882 -84.39175197 289.0 5.0,33.72668882,-84.39175197,289.0,5.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jess. Beckt,Second floor. Lower fountain,2016-11-29T10:40:02.896+03,uuid:d947bd1a-24e5-4cc1-807b-5c5a26edfd01,d947bd1a-24e5-4cc1-807b-5c5a26edfd01,2016-11-29T16:20:26
2016-12-01T10:16:00.178+03,n/a,n/a,358239057138523,Dwa005,Dwa005,2016-12-01T10:16:00.000+03,33.7265306 -84.39154013 310.0 7.0,33.7265306,-84.39154013,310.0,7.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Jk m,n/a,2016-12-01T10:19:46.030+03,uuid:985985d0-b127-424d-8a31-10d33d1222ec,985985d0-b127-424d-8a31-10d33d1222ec,2016-12-01T16:17:35
2016-12-01T10:39:11.177+03,n/a,n/a,358239057138523,Veg007,Veg007,2016-12-01T10:35:00.000+03,33.74172373 -84.35975667 229.0 4.0,33.74172373,-84.35975667,229.0,4.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Roma tomatoes,2,n/a,n/a,n/a,n/a,"Jess,molly",Kroger on Glenwood,2016-12-01T10:40:29.892+03,uuid:62bcf602-eb88-4534-9fd2-7938419845c1,62bcf602-eb88-4534-9fd2-7938419845c1,2016-12-01T16:17:36
2016-12-01T10:40:52.464+03,n/a,n/a,358239057138523,Veg008,Veg008,2016-12-01T10:35:00.000+03,33.74164634 -84.35959768 312.0 5.0,33.74164634,-84.35959768,312.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Green bell pepper,1,n/a,n/a,n/a,n/a,"Jess, Molly",Kroger on Glenwood,2016-12-01T10:42:15.987+03,uuid:332282dd-b51d-46fe-8bab-5235b4c1a2d0,332282dd-b51d-46fe-8bab-5235b4c1a2d0,2016-12-01T16:17:36
2016-12-01T10:42:25.865+03,n/a,n/a,358239057138523,Veg009,Veg009,2016-12-01T10:35:00.000+03,33.74165805 -84.35968966 285.0 4.0,33.74165805,-84.35968966,285.0,4.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Green leaf lettuce,1,n/a,n/a,n/a,n/a,"Jess, Molly",Kroger on Glenwood. Lettuce had been recently sprayed with water,2016-12-01T10:43:36.217+03,uuid:d3d06029-1564-46f7-ab1f-56c3ca032aef,d3d06029-1564-46f7-ab1f-56c3ca032aef,2016-12-01T16:17:36
2016-12-02T10:02:09.534+03,n/a,n/a,358239057138523,Veg010,Veg010,2016-12-02T10:02:00.000+03,33.72226268 -84.34842222 271.0 5.0,33.72226268,-84.34842222,271.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Jalapeño,2,n/a,n/a,n/a,n/a,Jk sm,n/a,2016-12-02T10:04:25.709+03,uuid:2ae8fec2-773b-48c7-acd6-601fb0f9ff72,2ae8fec2-773b-48c7-acd6-601fb0f9ff72,2016-12-02T15:50:39
2016-12-02T10:04:29.740+03,n/a,n/a,358239057138523,Veg004,Veg004,2016-12-02T10:04:00.000+03,33.72229112 -84.34840959 259.0 3.0,33.72229112,-84.34840959,259.0,3.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Lettuce,1,n/a,n/a,n/a,n/a,Jk sm,n/a,2016-12-02T10:05:07.912+03,uuid:9bd89520-83bc-4c7c-9035-9dfb5a27bcf0,9bd89520-83bc-4c7c-9035-9dfb5a27bcf0,2016-12-02T15:50:39
2016-12-02T10:05:13.015+03,n/a,n/a,358239057138523,Veg005,Veg005,2016-12-02T10:05:00.000+03,33.72229086 -84.34840658 259.0 3.0,33.72229086,-84.34840658,259.0,3.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Pepper,1,n/a,n/a,n/a,n/a,Jk sm,n/a,2016-12-02T10:05:52.380+03,uuid:9d997dae-1846-4f02-8c4b-9c9b3333bb69,9d997dae-1846-4f02-8c4b-9c9b3333bb69,2016-12-02T15:50:40
2016-12-02T10:05:55.052+03,n/a,n/a,358239057138523,Veg006,Veg006,2016-12-02T10:06:00.000+03,33.72226133 -84.34839276 266.0 5.0,33.72226133,-84.34839276,266.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Roma tomato,2,n/a,n/a,n/a,n/a,Jk sm,n/a,2016-12-02T10:06:41.464+03,uuid:a0ce3408-1e6e-437a-9a85-23f2c01ae0ff,a0ce3408-1e6e-437a-9a85-23f2c01ae0ff,2016-12-02T15:50:40
2016-12-06T10:51:23.221+03,n/a,n/a,358239057138523,Swa005,Swa005,2016-12-06T10:51:00.000+03,33.726226 -84.38915668 287.0 11.0,33.726226,-84.38915668,287.0,11.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,1,0,25,1,"Jess, amrita",Tool sample from stall and lock on door then with the other swab we took a samples from the faucet that had two handles. Soap was present. Facility and toilet looked clean. No one in here at this time,2016-12-06T11:02:09.449+03,uuid:5e7585ea-4463-4ef0-a680-08dd8e814a56,5e7585ea-4463-4ef0-a680-08dd8e814a56,2016-12-06T16:42:42
2016-12-06T10:55:37.906+03,n/a,n/a,358239057138523,Swa010,Swa010,2016-12-06T10:55:00.000+03,33.72612275 -84.38911641 243.0 31.0,33.72612275,-84.38911641,243.0,31.0,0,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,2,0,25,1,"Jess, amrita","Girls bathroom, looked clean, soap present. Took sample from toilet on the left and from the lock. Then other swab was used for faucet with two handles. No one here",2016-12-06T11:00:54.387+03,uuid:df02193d-7875-45e4-9c86-c62b45fa7324,df02193d-7875-45e4-9c86-c62b45fa7324,2016-12-06T16:42:43
2016-12-06T11:02:12.578+03,n/a,n/a,358239057138523,Dwa006,Dwa006,2016-12-06T11:02:00.000+03,33.72625402 -84.38917597 288.0 9.0,33.72625402,-84.38917597,288.0,9.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Jess, amrita","Drinking water fountain in main lounge area, water looked clean, there were red marks on the q-tip, building was empty when we were there",2016-12-06T11:09:59.103+03,uuid:b217b456-5560-4c0d-b9c9-d956fa6d8b11,b217b456-5560-4c0d-b9c9-d956fa6d8b11,2016-12-06T16:42:43
2016-12-06T11:03:30.030+03,n/a,n/a,358239057138523,Dwa002/3,Dwa002/3,2016-12-06T11:03:00.000+03,33.72625495 -84.38918391 289.0 8.0,33.72625495,-84.38918391,289.0,8.0,0,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Jess, amrita","Repeated same location as dwa006 because the water was not working outside. Drinking fountain in main lounge, building was empty, water looked clean. ",2016-12-06T11:14:06.167+03,uuid:30a9a298-70d7-4cc5-966c-2c9dda87c54b,30a9a298-70d7-4cc5-966c-2c9dda87c54b,2016-12-06T16:42:44
2016-12-08T10:06:43.837+03,n/a,n/a,358239057138523,Veg002,Veg002,2016-12-08T10:06:00.000+03,33.7034573 -84.4095033 267.0 3.0,33.7034573,-84.4095033,267.0,3.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Tomatoes,2,n/a,n/a,n/a,n/a,"Jess, Becky",Produce smelled weird,2016-12-08T10:07:58.554+03,uuid:0d779bb7-3189-4f58-83d7-628637e4926d,0d779bb7-3189-4f58-83d7-628637e4926d,2016-12-08T18:22:45
2016-12-08T10:08:01.211+03,n/a,n/a,358239057138523,Veg003,Veg003,2016-12-08T10:08:00.000+03,33.70344176 -84.40951507 263.0 4.0,33.70344176,-84.40951507,263.0,4.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Jalapeño,2,n/a,n/a,n/a,n/a,"Jess, Becky",Produce smelled weird,2016-12-08T10:08:52.591+03,uuid:bb647b83-87dc-4941-92bb-e35ec7dc002f,bb647b83-87dc-4941-92bb-e35ec7dc002f,2016-12-08T18:22:46
2016-12-08T10:08:55.155+03,n/a,n/a,358239057138523,Veg010,Veg010,2016-12-08T10:09:00.000+03,33.70343948 -84.40951832 261.0 5.0,33.70343948,-84.40951832,261.0,5.0,0,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,Cucumber ,1,n/a,n/a,n/a,n/a,"Jess, Becky",Produce smelled wekrd,2016-12-08T10:09:38.616+03,uuid:99ce8c2d-cb34-451c-b411-408297e0c410,99ce8c2d-cb34-451c-b411-408297e0c410,2016-12-08T18:22:47
