"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","tc_ecnt3","ec_blank","tc_blank","collectr","sp_area","dis_com","weight","feces_3m","lat_type","lat_other","n_stall","Vis_fec","HW_stat","ev_way.1","operator","lab_UID"
"CPO3031",3031,"3/11/2015","10:30:00 AM",25.94339,32.57967,"009-30",2,,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",998,0,0,0,0,"ELOISA -GISELA",1,1.65,,,,,,,,"009.30","LAURINDA MACUCULE","05_06_1033"
"CPO3034",3034,"3/13/2015","9:35:00 AM",25.94316,32.58111,"013-30",2,,"This stagnant water is mixed with the water that comes from the bath that oozes out of the compound.",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,999,73,0,0,"ELOISA/GIZELA",1,2.8,,,,,,,,"013.30","SALMA XAVIER","05_06_1034"
"DCO2029",2029,"5/12/2015","10:20:00 AM",25.94407,32.56058,"026-29",1,1,"The drain is within the bathroom and beside the latrine",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,999,999,0,0,"Amadeu/Gizela",0,,,,,,,,,"026-29","Marcio Amos","05_01_1035"
"DCO2030",2030,"3/26/2015","9:13:00 AM",25.94715,32.55198,"014-32",1,0.5,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",998,999,999,0,0,"ELOISA-GISELA",0,,,,,,,,,"014.32","MARIA","05_01_1036"
"DCO2031",2031,"3/3/2015","10:09:00 AM",25.94365,32.55762,"002-32",1,1,"",,,,,2015-03-03,"14:23:00",2015-03-03,"15:20:00",2015-03-04,"17:08:00",999,999,59,0,0,"ANABELA/BACELAR",0,,,,,,,,,"002.32","MARIO AMOS","05_01_1037"
"DCO2032",2032,"3/3/2015","10:05:00 AM",25.94365,32.55764,"001-32",1,1.9,"Sample collected from bathroom, the drain was covered",,,,,2015-03-03,"15:05:00",2015-03-03,"16:30:00",2015-03-04,"16:42:00",75,31,48,0,0,"BACELAR/ANABELA",0,,,,,,,,,"001.32","MARIO AMOS","05_01_1038"
"DCO2035",2035,"3/5/2015","9:28:00 AM",25.94497,32.55382,"004-32",1,4,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",0,0,0,0,0,"GISELA/ELOISA/AMADEU",0,,,,,,,,,"004.32","LAURINDA MACUCULE","05_01_1039"
"DCO2036",2036,"3/6/2015","9:52:00 AM",25.96199,32.58968,"001-30",1,3.5,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",999,999,75,0,0,"ELOISA-GISELA-AMADEU",0,,,,,,,,,"001.30","MARIO AMOS","05_01_1040"
"DCO2041",2041,"3/10/2015","9:07:00 AM",25.95265,32.5597,"005-30",1,2.94,"29.37 m is the distance from the drain to the latrine in use and 2.94 m is in relation to the old latrine",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"AMADEU/ELOISA",0,,,,,,,,,"005.30","MARIA ISABEL","05_01_1041"
"DCO2042",2042,"3/25/2015","9:55:00 AM",25.94633,32.55552,"022-29",1,6.2,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,0,0,0,"AMADEU/ANABELA",0,,,,,,,,,"022.29","SALMA XAVIER","05_01_1042"
"DCO2044",2044,"5/12/2015","9:50:00 AM",25.94189,32.55694,"001-01",1,18.2,"The latrine is in the yard outside the compound but the bathroom is inside the compound.",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,999,999,0,0,"Eloisa/Bacelar",0,,,,,,,,,"001-01","Marcio Amos","05_01_1043"
"DCO3001",3001,"3/11/2015","10:32:00 AM",25.94446,32.57943,"008-29",2,13.5,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",0,0,0,0,0,"ANABELA/AMADEU",0,,,,,,,,,"008.29","LAURINDA MACUCULE","05_01_1044"
"DCO3031",3031,"3/11/2015","10:10:00 AM",25.9434,32.57974,"007-30",2,3,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",0,0,0,0,0,"GISELA-ELOISA",0,,,,,,,,,"007.30","LAURINDA MACUCULE","05_01_1045"
"DCO3033",3033,"3/24/2015","9:15:00 AM",25.94152,32.58831,"169-31",2,3.1,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",999,999,999,0,0,"ELOISSA-GISELA",0,,,,,,,,,"169.31","MARIO AMOS","05_01_1046"
"DCO3037",3037,"3/12/2015","8:55:00 AM",25.94513,32.57913,"011-29",2,1,"",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",999,999,127,0,0,"",0,,,,,,,,,"011.29","MARIO AMOS","05_01_1047"
"DPO3001",3001,"3/11/2015","10:30:00 AM",25.94446,32.57907,"010-29",2,,"Sample collected from the big drain in public road in Acordos de Lusaka Avenue",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",999,0,0,0,0,"BACELAR/AMADEU",1,5.7,,,,,,,,"010-29","LAURINDA MACUCULE","05_01_1048"
"DPO3037",3037,"3/12/2015","9:29:00 AM",25.94512,32.57904,"013-29",2,,"sample collected from the public drainage in Acordos de Lusaka Avenue. The colonies in the 1.100 000 dilution were very pallid.",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",999,999,999,0,0,"ANABELA/BACELAR",1,7.4,,,,,,,,"013.29","MARIO AMOS","05_01_1049"
"SCA2029",2029,"5/12/2015","10:41:00 AM",25.94407,32.56058,"026-29",1,1,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",74,31,,0,0,"AMADEU/GIZELA",0,,31.47,,,,,,,"026-29","MARCIO AMOS","05_08_1050"
"SCA2030",2030,"3/26/2015","9:31:00 AM",25.94715,32.55198,"014-32",1,1,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",999,999,999,0,0,"ELOISA-GISELA",0,,23.15,,,,,,,"014.32","MARIA","05_08_1051"
"SCA2031",2031,"3/3/2015","9:21:00 AM",25.94365,32.55762,"002-32",1,1,"",,,,,2015-03-03,"16:00:00",2015-03-03,"17:08:00",2015-03-04,"17:08:00",999,999,,0,0,"ANABELA/BACELAR",0,,19.33,,,,,,,"002-32","MARIA ISABEL","05_08_1052"
"SCA2032",2032,"3/3/2015","9:54:00 AM",25.94365,32.55764,"001-32",1,1,"The dilution 1:10 presented with a very high number of sedimentation.",,,,,2015-03-03,"15:05:00",2015-03-03,"15:30:00",2015-03-04,"15:32:00",999,999,,0,0,"ELAISA/GISELA",0,,32.04,,,,,,,"001.32","MARIO AMOS","05_08_1053"
"SCA2034",2034,"3/5/2015","9:25:00 AM",25.94376,32.55799,"163-31",1,1,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",998,999,,0,0,"ANABELA/BACELAR",0,,30.89,,,,,,,"163.31","LAURINDA MACUCULE","05_08_1054"
"SCA2035",2035,"3/5/2015","9:23:00 AM",25.94497,32.55382,"004-32",1,1,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",999,999,,0,0,"GISELA-ELAISA-AMADEU",0,,20.7,,,,,,,"004.32","LAURINDA MACUCULE","05_08_1055"
"SCA2036",2036,"3/6/2015","10:06:00 AM",25.96199,32.58968,"001-30",1,1,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,999,,0,0,"ELAISA-GISELA-AMADEU",0,,24.22,,,,,,,"001.30","MARIO AMOS","05_08_1056"
"SCA2037",2037,"3/9/2015","9:46:00 AM",25.93127,32.5613,"164-31",1,1,"SAMPLE TAKEN FROM RECENT AND PROVISIONAL BATHROOM.",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,37,,0,0,"ANABELA/BACELAR",0,,14.82,,,,,,,"164-31","MARIO AMOS","05_08_1057"
"SCA2038",2038,"3/6/2015","9:13:00 AM",25.93534,32.56261,"003-29",1,1,"Sample collected from excavated sand for constrution of septic tank.",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,998,,0,0,"BACELAR/ANABELA",0,,21.06,,,,,,,"003.29","MARIO AMOS","05_08_1058"
"SCA2039",2039,"3/9/2015","10:25:00 AM",25.94919,32.55866,"004-30",1,1,"",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,0,,0,0,"GISELA/ELAISA",0,,21.33,,,,,,,"004.30","SALMA XAVIER","05_08_1059"
"SCA2040",2040,"3/10/2015","8:59:00 AM",25.93496,32.56271,"005-29",1,1,"Clear colonies developed",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",69,25,,0,0,"ANABELA/BACELAR",0,,13.18,,,,,,,"005.29","MARIA ISABEL","05_08_1060"
"SCA2042",2042,"3/25/2015","9:32:00 AM",25.94633,32.55552,"022-29",1,1,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"AMADEU/ANABELA",0,,15.27,,,,,,,"022.29","SALMA XAVIER","05_08_1061"
"SCA2043",2043,"3/25/2015","9:22:00 AM",25.94526,32.55675,"012-32",1,1,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"GISELA-ELOISA",0,,21.15,,,,,,,"012.32","SALMA XAVIER","05_08_1062"
"SCA3001",3001,"3/11/2015","10:25:00 AM",25.94457,32.57943,"008-29",2,1,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",998,999,999,0,0,"ANABELA/AMADEU",0,,15.63,,,,,,,"008.29","LAURINDA MACUCULE","05_08_1063"
"SCA3006",3006,"3/12/2015","9:25:00 AM",25.9439,32.58358,"010-30",2,1,"",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",999,999,,0,0,"AMADEU",0,,23.81,,,,,,,"010.30","MARIO AMOS","05_08_1064"
"SCA3030",3030,"3/13/2015","9:32:00 AM",25.94331,32.5812,"014-29",2,1,"",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",998,998,130,0,0,"ANABELA/BACELAR",0,,15.43,,,,,,,"014-29","SALMA XAVIER","05_08_1065"
"SCA3031",3031,"3/11/2015","10:20:00 AM",25.9434,32.57974,"007-30",2,1,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",999,25,,0,0,"ELAISA-GISELA",0,,15.85,,,,,,,"007.30","LAURINDA MACUCULE","05_08_1066"
"SCA3032",3032,"3/18/2015","10:42:00 AM",25.9448,32.5834,"008-32",2,1,"",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",998,75,23,0,23,"ELOISA",0,,17.73,,,,,,,"008.32","SALMA XAVIER","05_08_1067"
"SCA3033",3033,"3/24/2015","9:08:00 AM",25.94152,32.58831,"169-31",2,1,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",999,999,999,0,0,"AMADEU",0,,15.79,,,,,,,"169.31","MARIO AMOS","05_08_1068"
"SCA3034",3034,"3/13/2015","9:35:00 AM",25.94316,32.58126,"012-30",2,1,"",,,,,2015-03-13,"11:56:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,999,999,0,0,"AMADEU",0,,25.96,,,,,,,"012.30","SALMA XAVIER","05_08_1069"
"SCA3036",3036,"3/18/2015","11:12:00 AM",25.94175,32.58841,"166-31",2,1,"",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",998,999,999,0,0,"AMADEU",0,,21.52,,,,,,,"166.31","SALMA XAVIER","05_08_1070"
"SCA3037",3037,"3/12/2015","8:48:00 AM",25.94513,32.57913,"011-29",2,1,"",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",998,30,,0,0,"ANABELA/BACELAR",0,,15.82,,,,,,,"011.29","MARIO AMOS","05_08_1071"
"SCA3039",3039,"3/24/2015","8:51:00 AM",25.9415,32.58816,"167-31",2,1,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",999,999,999,0,999,"AMADEU/ANABELA",0,,18.34,,,,,,,"167.31","MARIO AMOS","05_08_1072"
"SCB2029",2029,"5/12/2015","10:46:00 AM",25.94407,32.56058,"026-29",1,3,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,97,,0,0,"AMADEU/GIZELA",0,,23.83,,,,,,,"026-29","MARCIO AMOS","05_08_1073"
"SCB2030",2030,"3/26/2015","9:34:00 AM",25.94715,32.55198,"014-32",1,3,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",999,999,999,0,0,"ELOISA GISELA",0,,21.11,,,,,,,"014.32","MARIA","05_08_1074"
"SCB2031",2031,"3/3/2015","9:45:00 AM",25.94365,32.55762,"002-32",1,3,"",,,,,2015-03-03,"16:00:00",2015-03-03,"17:08:00",2015-03-04,"17:08:00",999,999,,0,0,"ANABELA/BACELAR",0,,21.13,,,,,,,"002-32","MARIA ISABEL","05_08_1075"
"SCB2032",2032,"3/3/2015","9:59:00 AM",25.94365,32.55764,"001-32",1,3,"",,,,,2015-03-03,"15:05:00",2015-03-03,,2015-03-04,"16:42:00",998,998,,0,0,"ELAISA/GISELA",0,,27.15,,,,,,,"001.32","MARIO AMOS","05_08_1076"
"SCB2034",2034,"3/5/2015","10:06:00 AM",25.94376,32.55799,"163-31",1,3,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",998,999,,0,0,"ANABELA/BACELAR",0,,21.47,,,,,,,"163.31","LAURINDA MACUCULE","05_08_1077"
"SCB2035",2035,"3/5/2015","9:27:00 AM",25.94497,32.55382,"004-32",1,3,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",999,998,,0,0,"GISELA-ELAISA-AMADEU",0,,23.5,,,,,,,"004.32","LAURINDA MACUCULE","05_08_1078"
"SCB2036",2036,"3/6/2015","10:09:00 AM",25.96199,32.58968,"001-30",1,3,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,999,,0,0,"ELAISA-GISELA",0,,19.42,,,,,,,"001.30","MARCIO AMOS","05_08_1079"
"SCB2037",2037,"3/9/2015","9:49:00 AM",25.93127,32.5613,"164-31",1,3,"",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",998,999,,0,0,"ANABELA/BACELAR",0,,12.21,,,,,,,"164.31","SALMA/XAVIER","05_08_1080"
"SCB2038",2038,"3/6/2015","9:25:00 AM",25.93534,32.56261,"003-29",1,3,"Sample collected from sand excavated for construction of septic tank because it's being built in front of the current bathroom.",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,999,,0,0,"BACELAR/ANABELA",0,,20,,,,,,,"003.29","MARIO AMOS","05_08_1081"
"SCB2039",2039,"3/9/2015","10:29:00 AM",25.94919,32.55866,"004-30",1,3,"",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,42,,0,0,"GISELA/ELAISA",0,,20.4,,,,,,,"004.30","SALMA XAVIER","05_08_1082"
"SCB2040",2040,"3/10/2015","9:06:00 AM",25.93496,32.56271,"005-29",1,3,"",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"ANABELA/BACELAR",0,,16.32,,,,,,,"005.29","MARIA ISABEL","05_08_1083"
"SCB2042",2042,"3/25/2015","9:35:00 AM",25.94633,32.55552,"022-29",1,3,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"AMADEU/ANABELA",0,,31.72,,,,,,,"022.29","SALMA XAVIER","05_08_1084"
"SCB2043",2043,"3/25/2015","9:24:00 AM",25.94526,32.55675,"012-32",1,3,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"GISELA-ELOISA",0,,15.27,,,,,,,"012.32","SALMA XAVIER","05_08_1085"
