"number","formid","form.barcode","form.sampleid_no_match","form.study_type","form.p_location","form.t_location","form.s_location","form.ec_th","form.ev_way","form.ev_way_deviceID","form.neighbor","form.swab_surface","form.swab_surface_other","form..uiVersion","openrosa_headers.HTTP_X_OPENROSA_VERSION","date_header","auth_context.doc_type","auth_context.domain","form.collector_id","auth_context.user_id","X_rev","computed_modified_on_","form.meta.location..xmlns","form.ev_notes","auth_context.authenticated","form..type","initial_processing_complete","form.sample_weight","path","domain","completed_time","username","received_on","caseid","case_name","col_neigh","col_p_type_ch","col_UID"
11,"3a8bbaf5-8660-49a7-a272-4d49428b4073",558,,"S",,,19,"15:03:00.000Z",558,"WRI 3","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-02fcdbbe02bf3952ccf1452587b0c291",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-18 15:05:51","rkuddy","2016-07-18 15:06:10",,,303,,"03_01_0558"
12,"3d8caf3d-bb2c-4f79-9302-d727720f09c3",542,,,,,,"10:50:00.000Z",542,"WRI 0","Ringway",2,,1,1,,"AuthContext","sp-accra",,"94fbda39e376b90446a3f0b822ce5078","2-457b85298afab8602b5119a628b2582a",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-08 10:54:56","cafrimpong","2016-07-08 11:33:29",,,304,,"03_07_0542"
13,"3e658b40-141c-4c28-8063-d4b5ddd60119",350,,,,,,"11:44:00.000Z",350,"WRI 5","Adabraka",2,,1,1,,"AuthContext","sp-accra",,"94fbda39e376b90446a3f0b822ce5078","2-00569245c47025bda363598c29209781",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-17 11:47:16","cafrimpong","2016-06-22 09:54:25",,,305,,"03_07_0350"
14,"3b36039f-7757-46e4-9482-e7d23930cc2f",835,,,,,,"09:50:00.000Z",0,,"Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-2d07e4a532c83fb8b03f0899aa5bf74f",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/","sp-accra","2016-03-24 09:53:49","test","2016-03-24 09:53:56",,,301,"Carrot","03_02_0835"
15,"3c40c120-f402-4502-8e23-9b9d2d53d12e",244,,"T",,1,,"07:40:00.000Z",244,"WRI 2","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-4bbc02e6e0caabdfeeab69497736fcc5",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-19 18:43:36","rkuddy","2016-05-19 07:44:13",,,302,,"03_01_0244"
16,"38434614-863d-4035-abb8-02a3c9907c5f",767,,,,,,"11:26:00.000Z",2214,"WRI 2","Chorkor",1,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-6c52a4979becfe7eeb6740deb407acc6",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-04-27 22:27:59","rkuddy","2016-04-27 11:28:35",,,302,,"03_07_0767"
17,"5fa3c96d-d427-4702-b103-1a4cb7fe06f4",834,,"S",,,3,"09:35:00.000Z",0,,"Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-52d9b5191eef1ad58c095c7714ec3f91",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/","sp-accra","2016-03-24 09:40:32","test","2016-03-24 09:40:36",,,301,,"03_01_0834"
18,"5dfe0a8f-d391-4489-9a40-4e2d5201c014",415,,,,,,"11:10:00.000Z",415,"WRI 3","Ringway",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-92aef386cf0151242ef170de307424da",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-24 11:13:03","rkuddy","2016-06-24 11:14:55",,,304,,"03_03_0415"
19,"5b88aea7-7516-4db9-b932-0356229b1659",710,,,,,,"12:01:00.000Z",815,"WRI 3","Chorkor",3,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-da26f157570d716371802e0e832c42f3",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-04-25 12:12:18","mchrisk","2016-04-27 11:48:49",,,302,,"03_07_0710"
20,"59695a49-fc4f-4eeb-b0a5-63f192abf4d2",816,,,,,,"09:54:00.000Z",31,"03","Shiabu",88,"Public laterine, laterine wall",1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-223a51d6ec0c41c7f9b2aefa1a96a03b",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-03-31 10:02:10","test","2016-06-03 16:51:35",,,301,,"03_07_0816"
21,"5a04bf1c-f485-4df1-b93a-d24dafc989c1",187,,,,,,"11:14:00.000Z",187,"WRI 15","Chorkor",,,1,1,,"AuthContext","sp-accra",,"94fbda39e376b90446a3f0b822ce5078","2-0fb9bf474e1bfe6c9789439b2a219dfc",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-11 11:19:24","cafrimpong","2016-06-03 17:12:32",,,302,,"03_08_0187"
22,"5ea745ba-3845-495f-893f-bd2dcbe8e257",870,,,,,,"10:40:00.000Z",0,,"Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-f284ea9f2d3a6fa57f2f9c9690faa9dc",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/a333c6cb17571b6d292bb33fa34deb9f/","sp-accra","2016-03-21 10:47:38","test","2016-03-21 10:47:43",,,301,"tomato","03_02_0870"
23,"a03f5e8c-be47-4731-b160-2aad27828fd1",887,,,,,,"11:13:00.000Z",7,"spigen","Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-36e36a716ca65a4b80ef704d02b8ed5f",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-03-29 11:14:40","test","2016-06-03 16:49:44",,,301,,"03_04_0887"
25,"9ebf901a-1d4c-4330-bee1-33bc87edb8c8",580,,"T",,1,,"09:53:00.000Z",580,"WRI 3","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-3123463614d67dc243f985c3263e48bc",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-19 09:56:07","rkuddy","2016-07-19 10:09:19",,,303,,"03_01_0580"
26,"a136c3b4-636f-4868-b382-33be581dcbea",462,,,,,,"09:54:00.000Z",462,"WRI 4","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-4429aba9570f984cd4bb0c53cecea4df",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-04 09:56:51","mchrisk","2016-07-04 09:56:59",,,303,"Tomatoes","03_02_0462"
27,"aa4d3fa9-ffc0-401e-9680-b701d0641a37",299,,,,,,"09:53:00.000Z",299,"WRI 15","Adabraka",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-4f87a60203c163ef8803188802db1ac5",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-10 09:55:36","mchrisk","2016-06-10 09:55:45",,,305,,"03_06_0299"
28,"a729e762-ab75-4910-9b02-40360bba1608",786,,,,,,"12:55:00.000Z",786,"WRI 3","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-6c402127c6e1c02a0ef8c5c8c0afa806",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-05 12:56:44","rkuddy","2016-07-05 12:58:41",,,303,,"03_08_0786"
29,"acd00b36-8cec-4a09-af86-b265601e4be0",108,,,,,,"12:41:00.000Z",108,"WRI 15","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-f0e20eaa654b644e8d2dbdb43a7706aa",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-03 12:44:53","mchrisk","2016-05-05 15:11:30",,,302,,"03_03_0108"
31,"9df02a98-337b-473b-81fd-4d6c0e45d3b3",302,,"T",,5,,"11:04:00.000Z",23,"WRI 15","Adabraka",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-ba9042bec8e79df689d9bf3e8cadb27b",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-14 11:08:35","mchrisk","2016-06-14 11:08:44",,,305,,"03_01_0302"
32,"b9cc4342-5f3a-430b-bf56-7e3cd0ae7d67",417,,,,,,"11:41:00.000Z",417,"WRI 3","Ringway",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-9775b9fc3f3de15446845a4508055073",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-24 11:45:25","rkuddy","2016-06-24 11:47:16",,,304,,"03_03_0417"
33,"bd1dd511-d7f4-4c50-bf40-067c22caade0",443,,"S",,,14,"12:18:00.000Z",14,"WRI 0","Ringway",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-ec451b328a1b03f29866396ede1fc0aa",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-28 12:20:44","mchrisk","2016-06-28 12:20:51",,,304,,"03_01_0443"
34,"bf0ec94f-9dae-43c1-bc88-e9f29e3355fd",820,,"S",,,1,"08:54:00.000Z",0,,"Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-f541387576a3d1c7bbcb7595c0ba380e",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/","sp-accra","2016-03-23 08:58:07","test","2016-03-23 08:58:11",,,301,,"03_01_0820"
35,"c0a35d0c-0d73-479a-a3b0-26d5b8f82e78",143,,,,,,"09:47:00.000Z",143,"WRI 15","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-b485cdd5bd3525b8462bac415720e92e",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-05 09:48:48","mchrisk","2016-05-05 15:11:43",,,302,,"03_04_0143"
36,"c3ea0747-02ba-461a-836a-51e283d80555",812,,,,,,"11:26:00.000Z",27,"Sp09","Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-2456487a14dcf6ada6367bb3d4d0592f",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/a54adb3da96f113565759acec839ac73/","sp-accra","2016-03-30 11:38:27","test","2016-04-20 08:13:24",,,301,,"03_08_0812"
37,"c4bd8b46-863f-4945-a054-e1c264852284",425,,,,,,"10:28:00.000Z",425,"WRI 2","Ringway",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-30135aae44d3946cff90748cdc368413",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-22 10:31:24","rkuddy","2016-06-22 10:33:15",,,304,"spring onion","03_02_0425"
38,"c557cabd-43fe-4612-9b07-627bd646cd7f",399,,,,,,"10:56:00.000Z",399,"WRI 3","Ringway",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-96f56160a4803af43b46b874f572351e",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-23 10:57:57","rkuddy","2016-06-23 10:59:54",,,304,,"03_08_0399"
39,"d6c19ac2-60fa-4af0-a3fa-4fcf67195fee",402,,,,,,"10:30:00.000Z",402,"WRI 2","Adabraka",2,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-467c3aa6b3d72418519b18117e82c1d1",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-20 10:32:54","rkuddy","2016-06-20 10:34:46",,,305,,"03_07_0402"
40,"75596493-9227-4e94-8f0d-9fc515137aec",259,,,,,,"12:10:00.000Z",259,"WRI 2","Adabraka",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-d1b77b2857e00877945a82d885156617",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-06 23:12:01","rkuddy","2016-06-06 12:12:56",,,305,"pepper(red)","03_02_0259"
41,"7d934573-1571-456a-9ad6-9548bf83abbc",775,,,,,,"12:34:00.000Z",2218,"WRI 2","Chorkor",88,"compound floor",1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-1d01813c01c85104e5d03eafcd7cb0a9",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-04-27 23:35:42","rkuddy","2016-04-27 12:36:19",,,302,,"03_07_0775"
42,"7be1c547-aa8b-4e20-a64e-8cd62078a372",815,,,,,,"11:51:00.000Z",30,"Sp09","Shiabu",,,1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-2d2ad4ae028e03ab4bf0baeed48a138a",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/a54adb3da96f113565759acec839ac73/","sp-accra","2016-03-30 11:52:27","test","2016-04-20 08:13:31",,,301,,"03_08_0815"
43,"7ea76789-c444-42dc-8031-e9212846dbbb",327,,"P",1,,,"09:20:00.000Z",26,"WRI 2","Adabraka",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-b2e3b5d04999326cb455cb98ebfbfb26",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-15 09:21:45","mchrisk","2016-06-15 09:21:56",,,305,,"03_01_0327"
44,"80d48572-75b5-43a9-aeab-f90106bd1d11",120,,,,,,"11:00:00.000Z",120,"WRI 15","Chorkor",,,1,1,,"AuthContext","sp-accra",,"94fbda39e376b90446a3f0b822ce5078","2-e808c2bebcf5444cf05a9e7c989c7cf9",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-04 11:15:53","cafrimpong","2016-06-03 17:10:34",,,302,,"03_03_0120"
45,"83ff3b1c-a761-46e5-8fd0-3fdedc0a295e",115,,,,,,"11:17:00.000Z",115,"WRI 2","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-e9300c9e7cd4c0e0c6ca8eb6a5a739f9",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-04 22:21:28","rkuddy","2016-05-04 11:22:05",,,302,,"03_03_0115"
46,"846fa4d1-c15f-4f2c-a526-753707d31178",776,,,,,,"09:48:00.000Z",2220,"WRI 2","Chorkor",2,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-9441dc5072c2b3f21cf39d08a7fd477e",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-04-28 20:51:42","rkuddy","2016-05-03 09:15:17",,,302,,"03_07_0776"
47,"81a23a49-033c-49fd-a086-8e4af86c1241",798,,,,,,"12:48:00.000Z",798,"WRI 2","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-fcd7badac4907f347cebd04bce22f1e9",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-04 23:52:57","rkuddy","2016-05-04 12:53:34",,,302,,"03_03_0798"
48,"82b0a272-d00b-487b-a982-a8f8a4877d32",521,,,,,,"10:40:00.000Z",521,"WRI 3","Kokomlemle",88,"Public latrine",1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-47d91fe06bc8a3d1555e52c8c012d208",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-05 10:42:00","rkuddy","2016-07-05 10:43:56",,,303,,"03_07_0521"
49,"735f2fc6-9f91-4307-8ac2-3fa8c247eeeb",130,,,,,,"09:37:00.000Z",130,"WRI 2","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-35c11e1fc329b71e598d1c8bc3f4995d",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-05 20:38:39","rkuddy","2016-05-05 09:39:52",,,302,,"03_08_0130"
51,"6457b02c-2371-4987-873c-e9bf848522fc",681,,,,,,"09:23:00.000Z",681,"WRI 3","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-18ecd34da3b969850c23389c1d3df527",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-04-21 09:24:48","mchrisk","2016-04-21 09:25:54",,,302,"Green pepper","03_02_0681"
52,"69e0ece7-dd9b-4d4e-9be7-4d56633baefa",493,,,,,,"12:58:00.000Z",493,"WRI 3","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-6118b058b6ab36aa40c8109ea8c8a840",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-05 12:59:03","rkuddy","2016-07-05 13:01:01",,,303,,"03_08_0493"
53,"69ebcff8-6e01-4334-b9b1-3126a34ff2b8",892,,,,,,"10:26:00.000Z",37,"03","Shiabu",88,"Public laterine",1,1,,"AuthContext","sp-accra",,"702302b8962eebee5431382bb1d96c4f","2-ed80f548e8900827b779fcf437c3838e",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-03-31 10:27:48","test","2016-06-03 16:51:53",,,301,,"03_07_0892"
