id,response,question,answer_text
112,5,102,100.0
113,5,103,20000
114,5,128,"GREEN LEAF AND TOMATO, CUCUMBER
"
115,5,129,40% OF PEOPLE BUYING VEGETABLES FROM UZHAVAR SANDHAI AND OTHERS FROM PROVISION STORES.
116,5,108,
117,5,133,"NO CONTAMINATION IN PUBLIC LATRINES, BECAUSE WEEKLY TWICE SERVANTS CLEANING."
118,5,140,
119,5,141,"POPULATED AREA: KASPA IBRAHIM SHAHIB, OLD MASUDHI STREET.
DRAINAGE: NARIYAMMAN KOIL STREET, NALLA THANI KULAM STREET.SUBETHAR SHEK ABDUL KADHER STREET
TOILET: KUMARTHA ABDUL KATHIR STREET."
120,5,134,THROUGH TRUCK ALL THE HUMAN WASTE ARE CLEANING. I DON'T KNOW WHERE IT GOES.
121,5,137,52 WARD AREA PEOPLE THROUGH THE RUBBISH IN THE STREETS.
122,5,136,
123,5,113,"PLANNING TO BUILD 10,000 LAKH LITTER WATER TANK."
124,5,110,ALL PLACES HAVE OPEN DRAINAGE.
125,5,117,4
126,5,115,"CORPORATION WATER, BORE WELL, LORRY WATER"
127,5,114,10 DAYS ONCE.
128,5,138,NOTHING
129,6,15,BECAUSE LAND SET UP IS LOW.
130,6,14,"KANSALPETTAI EVERY YEAR GETTING FLOOD.
"
131,6,12,INDIVIDUALS BORE WELL AND STREET BORE IS MAIN RESOURCE.
132,6,11,"PALAR, OTTERI, PONNAI, ELAVENKADU, THORAPADI."
133,6,10,"ALL AREA HAS ONLY OPEN DRAINS
"
134,6,52,
135,6,50,
136,6,19,"SEWAGE TREATMENT
ALREADY BUILD. SOON
IT WILL START TO WORK."
137,6,8,3.0
138,6,1,28.0
139,6,3,"MAKING SURE STAFFS ARE WORKING, AND MIXING CHLORINE IN THE WATER."
140,6,2,WATER SUPPLY MAINTENANCE
141,6,5,"SADUPERI - R.N PALAYAM NEAR
OTTERI - BAGAYAM
THORAPADI - VELLORE JAIL BACKSIDE"
142,6,7,"EACH AREA HAS ONE PUBLIC TOILET.
SLUM AREA NUMBERS HIGH."
143,6,51,
144,6,38,SLUM AREAPEOPLE
145,6,31,"NO CHANCES FOR CONTAMINATION, BECAUSE PIPES  ARE WELL SEALED. MAY BE IN HOUSE CONTAMINATION MAY HAPPEN, BECAUSE ALL PIPE CROSSING THE DRAIN WHEN IT GOES IN TO HOUSE."
146,6,30,ONCE IN VIRUDUMPETTU WE USED. BUT NOT NOW
147,6,33,
148,6,36,"YES, NO OTHER WAY, HOUSE SIZE IS VERY SMALL IN THAT THEY CAN'T BUILD TOILET, SO THEY HAVE TO GO ONLY IN PUBLIC TOILET."
149,6,48,BALASUBRAMANIYAM
150,6,49,
151,6,44,
152,6,45,"NOTHING
"
153,6,46,"PEOPLE ARE CUTTING ANIMALS FOR MEAT IN HOUSE IT SELF, ANIMAL BLOOD & WASTE ARE AFFECTING THE ENVIRONMENT."
154,6,17,THERE IS NO AGRICULTURE LAND.
155,6,28,ONLY 10% OF PEOPLE DOING OPEN DEFECATE.
156,6,26,PARTICULARLY SADHUPERI IS THE MAIN PLACE. HERE WATER QUALITY IS VERY BAD.
157,6,25,"ALL EMPTY PLACES PEOPLE ARE DROPPING HOUSE HOLD WASTAGE'S, IT'S GETTING FIRE AUTOMATICALLY. "
158,6,22,"WATER QUALITY IS GOOD, ITS DRANK ABLE, 5 SAMPLES PER WARD WE ARE SENDING TO GOVERNMENT, THEY WILL CHECK AND TELL THE QUALITY OF WATER."
159,6,23,PLANT CONSTRUCTION WORK GOING ON SOON WILL COME TO USAGE.
160,6,21,
