ki_question_id,answer_type,question_text,answer_required,display_order,ki_type
104,1,5.  How does the water and sanitation infrastructure in this neighborhood compare to other similar neighborhoods? Fill in similarities and differences with other neighborhoods in the table below.,False,5,community
105,7,6.  What public facilities are available in this neighborhood? Circle all that apply.,True,6,community
106,2,Other response:,False,7,community
107,6,7.  Does this neighborhood flood? Circle yes or no.,True,8,community
108,3,"If so, how often?",False,9,community
109,6,8.  Are there open (uncovered) drains in the neighborhood? Circle yes or no.,True,10,community
110,3,Notes for question 8:,False,11,community
111,6,9.  Is there a municipal water source in this neighborhood? Circle yes or no.,True,12,community
112,6,Do people drink the municipal water source? Circle yes or no.,False,13,community
113,3,Notes for question 9:,False,14,community
114,3,"10. Is the municipal water source consistently available, or is it intermittent?",False,15,community
115,3,11. What water source do people use primarily for bathing?,True,16,community
116,6,12. Are there public latrines in this community? Circle yes or no.,True,17,community
117,4,"If so, how many?",False,18,community
118,1,"13. Are there bodies of water, such as a surface water (an ocean, ponds, lagoons or rivers) in this neighborhood? If so, what are their names? Fill in the table below.",False,19,community
119,6,14. Are there farms that produce vegetables and fruit in your community? Circle yes or no.,True,20,community
120,3,Notes for question 14:,False,21,community
121,6,15. Would children or adults in your community go into the ocean/rivers/lakes/ponds for any reason? Circle yes or no.,False,22,community
122,3,"If so, for what?",False,23,community
123,6,16. Would adults or children in your community come into contact with open drains for any reason? Circle yes or no.,True,24,community
124,3,"If so, for what?",False,25,community
125,6,17. Would adults or children in your community ever come into contact with floodwater? Circle yes or no.,True,26,community
126,3,"If so, for what?",False,27,community
127,6,18. Is it common for adults or children to eat uncooked vegetables or fruit in the city? Circle yes or no.,True,28,community
128,3,"If so, what sort of produce?",False,29,community
129,3,19. Where are the vegetables and fruits sold?,False,30,community
130,6,20. Do you think that the water used for irrigation of fruit and vegatables contains fecal contamination? Circle yes or no.,True,31,community
131,6,Do you think that wastewater is used to fertilize the fruit and vegatable plants? Circle yes or no.,True,32,community
132,6,21. Do you think people might be exposed to fecal contamination in public latrines? Circle yes or no.,True,33,community
133,3,Notes for question 21:,False,34,community
134,3,22. How do public latrines dispose of human waste? Where does the waste end up?,True,35,community
135,7,23. Where do most people in your community go to [defecate]? Circle all that apply.,True,36,community
136,2,Other response:,False,37,community
137,3,24. What is your main environmental health concern with relation to water and sanitation in your neighborhood?,True,38,community
138,3,25. Are there any other important characteristics of this neighborhood or environmental health issues that we have not discussed?,False,39,community
139,6,"26. Can we now walk through the neighborhood together to visit some of the areas that you have described? Circle yes or no.  Prioritize, public latrines, drinking and bathing water sources, surface and ocean water, open drains and wastewater irrigated farms as places to visit.",True,40,community
140,3,Notes for question 26:,False,41,community
141,3,"If there is anything that you were not able to address in previous questions, or any additional notes that accompany previous questions, please record the question number along with the additional notes in the box below.",False,42,community
