lab_start_dt,subscriberid,simserial,deviceid,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_received,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_da_weight,lab_pa_weight,lab_1_note,lab_1_dil_tested,lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_dil_tested,lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_dil_tested,lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_closing,lab_notes,lab_enum,lab_photo,__version__,_id,_uuid,_submission_time,_index
2019/05/15 22:55:04,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/15 23:03:19,58,2,2,NA,NA,RP2003OLD,RP2003old,2019/05/13 17:56:00,2019/05/13 19:51:00,2019/05/13 20:15:00,2019/05/14 21:30:00,21.9,NA,NA,NA,NA,7,10,3,0,7,1,3,0,1,6,1,3,0,NA,"OBSERVATION FOR RED COLONIES: 10 ML (UNDILUTED)-TNTC, 1 ML (UNDILUTED)-59, AND 1:10 (1 ML)- 11",4,0,vGuxuKRNcJh7oUGHdmQvJP,2850,93162598-4c4f-43ef-a43e-fb6f4e110476,2019/05/15 10:33:39,13
2019/05/15 23:03:20,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/15 23:14:37,58,2,2,NA,NA,RP2004OLD,RP2004old,2019/05/13 17:59:00,2019/05/13 19:51:00,2019/05/13 20:15:00,2019/05/14 20:30:00,21.9,NA,NA,NA,NA,7,10,2,NA,7,1,2,NA,1,6,1,2,NA,NA,"FOR RED COLONIES , ALL ARE NOTED ""TDTC""",4,0,vGuxuKRNcJh7oUGHdmQvJP,2851,3bb98549-d893-4252-80fc-db42a8d576e3,2019/05/15 10:44:56,14
2019/05/15 23:14:37,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/15 23:40:50,58,2,8,NA,NA,SL2003OLD,SL2003,2019/05/13 20:50:00,2019/05/13 21:00:00,2019/05/13 22:15:00,2019/05/14 21:30:00,NA,NA,NA,35,NA,7,1,2,NA,6,1,3,5,1,5,1,3,0,NA,"RED COLONIES: 1 ML (UNDILUTED)- 58 , 1ML (1:10 DILUTION)-18 COLONIES, 1 ML (1:100 DILUTION)- 10 COLONIES. IN EVERY CASES SMUDGED RED COLONIES FOUND.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2852,4c3acf01-5459-4153-9b0e-ff89f0d74a87,2019/05/15 11:11:10,15
2019/05/15 23:40:50,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/15 23:50:14,58,2,8,NA,NA,SL2004OLD,SL2004old,2019/05/13 20:52:00,2019/05/13 21:00:00,2019/05/13 22:15:00,2019/05/14 21:30:00,NA,NA,NA,23,NA,7,1,3,0,6,1,3,0,1,5,1,3,0,NA,"SHORTAGE IN SAMPLE AMOUNT. 3 G SOIL WAS MIXED WITH 30 ML OF BEEF EXTRACT FOR MST ASSAY. 28 (WITH SMUDGED COLONIES), 24 AND A SINGLE RED COLONIES WERE NOTED FOR UNDILUTED, 1:10 AND 1:100 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2853,f738d933-7707-4764-a460-c06f012aeeb6,2019/05/15 11:20:34,16
2019/05/15 23:50:15,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:15:57,59,1,11,NA,NA,PLC1001,PLc1001,2019/05/13 20:48:00,2019/05/13 22:30:00,2019/05/13 23:00:00,2019/05/14 23:10:00,NA,NA,NA,NA,NA,4,1,3,146,3,1,3,20,0,NA,NA,NA,NA,NA,"114 AND 14 RED COLONIES WERE DETECTED FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2854,ed929c3e-12da-4062-b1d8-5fb8fdc96732,2019/05/15 11:46:16,17
2019/05/16 00:15:57,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:21:32,58,2,11,NA,NA,PL2003,PL2003,2019/05/13 20:55:00,2019/05/13 22:30:00,2019/05/13 23:00:00,2019/05/14 23:10:00,NA,NA,NA,NA,NA,4,1,3,11,3,1,3,0,0,NA,NA,NA,NA,NA,"2 AND NONE RED COLONIES WERE DETECTED FOR 1:1000 AND 1: 10000 DILUTIONS, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,2855,5a2058ed-537b-4975-a63a-f894ff6f8222,2019/05/15 11:51:51,18
2019/05/16 00:21:32,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:26:13,58,1,3,NA,NA,DWB1001,DWb1001,2019/05/14 18:23:00,2019/05/14 19:30:00,2019/05/14 22:40:00,2019/05/15 22:00:00,NA,NA,NA,NA,NA,7,100,3,0,7,10,3,0,0,NA,NA,NA,NA,NA,"17 AND 5 NUMBER OF RED COLONIES WERE DETECTED FOR 100 ML AND 10 ML OF SAMPLE, RESPECTIVELY.",3,0,vGuxuKRNcJh7oUGHdmQvJP,2856,69dfd0df-19ac-4300-91b6-be0d2717a44a,2019/05/15 11:56:33,19
2019/05/16 00:26:13,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:31:49,58,1,1,NA,NA,OD1001,OD1001,2019/05/14 18:23:00,2019/05/14 19:30:00,2019/05/14 22:40:00,2019/05/15 22:00:00,NA,NA,NA,NA,NA,4,1,3,3,3,1,3,0,0,NA,NA,NA,NA,NA,"62+ AND 25 RED COLONIES WERE DETECTED FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY.","3,4",0,vGuxuKRNcJh7oUGHdmQvJP,2857,f4f32d3e-fed0-49db-9971-359d930c166e,2019/05/15 12:02:09,20
2019/05/16 00:31:49,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:41:12,58,1,10,NA,NA,SF1001,SF1001,2019/05/14 18:24:00,2019/05/14 19:30:00,2019/05/14 22:40:00,2019/05/15 22:00:00,NA,150,NA,NA,NA,7,10,2,NA,7,1,1,NA,1,6,1,1,NA,NA,70 BLUE COLONIES WERE DETECTED FOR 1ML SAMPLE OF 1:100 DILUTION. ALL OF THE CASES ABUNDANCE OF RED COLONIES WERE TNTC.,4,0,vGuxuKRNcJh7oUGHdmQvJP,2858,7d3a5441-f3b5-4653-96c3-75cf45d7fbcf,2019/05/15 12:11:32,21
2019/05/16 00:41:12,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 00:56:55,58,1,10,NA,NA,SF1002,SF1002,2019/05/14 18:25:00,2019/05/14 19:30:00,2019/05/14 22:40:00,2019/05/15 22:00:00,NA,200,NA,NA,NA,7,10,3,3,7,1,3,0,1,6,1,3,0,NA,"6 ml of sample used instead of 10 ml for undiluted sample WHERE SOME SMUDGED BLUE COLONIES FOUND ALONG WITH 3 DISTINCT BLUE COLONIES. FOR RED COLONIES: 9, 1 AND 0, NUMBER OF COLONIES WERE NOTED FOR 6 ML-UNDILUTED, 1 ML-UNDILUTED AND 1ML-1:10 DILUTION, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2859,7b5cfaff-766c-4de0-94aa-17d532773d65,2019/05/15 12:27:15,22
2019/05/16 00:56:55,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/15 00:00:00,2019/05/16 01:07:39,58,1,5,NA,NA,SW1001,SW1001,2019/05/14 21:46:00,2019/05/14 22:40:00,2019/05/14 23:00:00,2019/05/15 22:30:00,NA,NA,NA,NA,NA,7,10,2,NA,7,1,2,NA,0,NA,NA,NA,NA,NA,APPEARANCE OF RED COLONIES WERE TDTC FOR ALL OF THE CASES.,4,0,vGuxuKRNcJh7oUGHdmQvJP,2860,f755bdf0-d82f-4742-a553-26a4800dd9cd,2019/05/15 12:37:59,23
2019/05/24 23:21:17,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:28:42,58,1,11,NA,NA,PL1002,PL1002,2019/05/15 21:10:00,2019/05/15 21:45:00,2019/05/15 22:40:00,2019/05/16 22:45:00,NA,NA,NA,NA,NA,4,1,3,3,3,1,3,1,0,NA,NA,NA,NA,NA,"7 AND 2 RED COLONIES, FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2939,07020299-e218-4e0a-96ea-22d1f09e27c6,2019/05/24 10:59:04,24
2019/05/24 23:28:42,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:33:59,58,1,7,NA,NA,LS1002,LS1002,2019/05/15 21:10:00,2019/05/15 21:45:00,2019/05/15 22:40:00,2019/05/16 22:45:00,NA,NA,NA,NA,NA,7,10,3,1,6,1,3,0,0,NA,NA,NA,NA,NA,"12 AND 1 RED COLONIES, FOR UNDILUTED (10ML) AND 1 ML OF 1:10 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2940,debb77e9-e626-4890-a6a1-cc9268851660,2019/05/24 11:04:21,25
2019/05/24 23:33:59,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:38:28,58,1,7,NA,NA,LS1003,LS1003,2019/05/15 21:10:00,2019/05/15 21:45:00,2019/05/15 22:40:00,2019/05/16 22:45:00,NA,NA,NA,NA,NA,7,10,3,2,6,1,3,0,0,NA,NA,NA,NA,NA,"38+ AND 14 RED COLONIES, FOR 10 ML UNDILUTED AND 1 ML OF 1:10 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2941,a8348b0e-0ec3-47e0-a029-2f9bc908590d,2019/05/24 11:08:49,26
2019/05/24 23:38:28,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:45:02,58,1,7,NA,NA,LS1004,LS1004,2019/05/15 21:10:00,2019/05/15 21:45:00,2019/05/15 22:40:00,2019/05/16 22:45:00,NA,NA,NA,NA,NA,7,10,3,2,6,1,3,0,0,NA,NA,NA,NA,NA,"10+ WITH LARGE COLONIES AND 23 RED SMALL COLONIES FOUND, FOR 10 ML UNDILUTED AND 1 ML OF 1:10 DILUTION, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2942,497fcc57-0497-42e3-a0e6-106677fc536b,2019/05/24 11:15:23,27
2019/05/24 23:45:02,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:49:19,59,1,11,NA,NA,PLC1002,PLc1002,2019/05/16 20:50:00,2019/05/16 23:00:00,2019/05/16 23:45:00,2019/05/17 23:45:00,NA,NA,NA,NA,NA,4,1,3,13,3,1,3,2,0,NA,NA,NA,NA,NA,"32 AND 16 RED COLONIES, FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2943,4fc4b263-1a92-40d7-b22c-ac59098c61af,2019/05/24 11:19:41,28
2019/05/24 23:49:20,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:54:16,59,1,11,NA,NA,PLC1003,PLc1003,2019/05/20 18:55:00,2019/05/20 20:00:00,2019/05/20 20:20:00,2019/05/21 20:20:00,NA,NA,NA,NA,NA,4,1,3,97,3,1,3,2,0,NA,NA,NA,NA,NA,"83 AND 2 RED COLONIES, FOR 1:1000 AND 1:10000 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2944,03ec4c15-1074-4cd3-beff-e214801beaa2,2019/05/24 11:24:38,29
2019/05/24 23:54:16,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/24 00:00:00,2019/05/24 23:59:28,58,1,3,NA,NA,DWB1002,DWb1002,2019/05/21 18:26:00,2019/05/21 19:00:00,2019/05/21 20:00:00,2019/05/22 23:00:00,NA,NA,NA,NA,NA,7,100,3,1,7,10,3,0,0,NA,NA,NA,NA,NA,"13 AND 3 RED COLONIES FOUND, FOR 100 ML AND 10 ML, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2945,d30d3eae-b934-4931-90b8-4255e4f3d170,2019/05/24 11:29:50,30
2019/05/24 10:33:15,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:39:43,58,1,2,NA,NA,RP1001,RP1001,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,100,NA,NA,NA,NA,7,10,3,0,7,1,3,0,1,6,1,3,0,NA,"FOR RED COLONIES: TDTC FOR 10 ML UNDILUTED, TNTC FOR 1 ML UNDILUTED AND TNTC FOR 1 ML 1:10 DILUTION",4,0,vGuxuKRNcJh7oUGHdmQvJP,2946,cca697b3-4a3e-4fcd-a67f-312a8d89a6a5,2019/05/24 11:39:58,31
2019/05/24 10:39:43,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:48:51,58,1,2,NA,NA,RP1002,RP1002,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,198,NA,NA,NA,NA,7,10,3,6,7,1,3,2,1,6,1,3,0,NA,"72, 60 AND 35 RED COLONIES DETECTED FOR 10 ML (UNDILUTED), 1 ML (UNDILUTED) AND 1ML OF 1:10 DILUTION, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2947,10e1dbc3-ad86-496a-9885-a570b3386505,2019/05/24 11:49:06,32
2019/05/24 10:48:51,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:53:09,58,1,1,NA,NA,OD1002,OD1002,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,NA,NA,NA,NA,NA,4,1,3,45,3,1,3,4,0,NA,NA,NA,NA,NA,"98 AND 46 RED COLONIES FOUND WITH 1:1000 AND 1:10000 DILUTION, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2948,49071ef5-f2ed-431a-8d51-75a651f8ac78,2019/05/24 11:53:24,33
2019/05/24 10:53:09,subscriberid not found,simserial not found,enketo.sanipath.org:LtT0SCbULZaZ3pbc,2019/05/24 00:00:00,2019/05/24 10:59:41,58,1,10,NA,NA,SF1003,SF1003,2019/05/21 04:56:00,2019/05/21 05:30:00,2019/05/21 06:30:00,2019/05/22 09:30:00,NA,300,NA,NA,NA,7,10,3,23,7,1,3,6,1,6,1,3,2,NA,"OBSERVED RED COLONIES NUMBERS ARE- (10 ML UNDILUTED -TDTC), (1ML UNDILUTED-85), (1 ML 1:10 DILUTION-25), AND (1ML 1:100 DILUTION-2)",4,0,vGuxuKRNcJh7oUGHdmQvJP,2949,3d65ab00-4127-4832-9e31-438f6185e737,2019/05/24 11:59:56,34
2019/05/27 19:04:56,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/27 00:00:00,2019/05/27 19:11:08,58,1,5,NA,NA,SW1002,SW1002,2019/05/21 18:27:00,2019/05/21 19:00:00,2019/05/21 20:00:00,2019/05/22 23:00:00,NA,NA,NA,NA,NA,7,10,1,NA,7,1,1,NA,0,NA,NA,NA,NA,NA,"THE RED COLONIES WERE TNTC AND 71 FOR 10 ML AND 1 ML OF UNDILUTED SAMPLE, RESPECTIVELY",4,0,vGuxuKRNcJh7oUGHdmQvJP,2950,05f8490c-f9d4-4f57-91bb-19e6a2a34242,2019/05/27 06:41:30,35
2019/05/27 19:11:08,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/27 00:00:00,2019/05/27 19:26:35,58,1,10,NA,NA,SF1004,SF1004,2019/05/21 21:58:00,2019/05/21 22:30:00,2019/05/21 23:30:00,2019/05/22 23:00:00,NA,300,NA,NA,NA,7,10,3,1,7,1,3,0,1,6,1,3,0,NA,"10 ML UNDILUTED SAMPLE WILL BE CONSIDERED TO BE 6 ML. APART FROM THE MENTIONED DILUTION, THERE WAS NO RED OR BLUE COLONIES FOUND FOR 1 ML AT 1:100 DILUTION. 21 AND 10 RED COLONIES FOUND AT 6 ML AND 1 ML UNDILUTED SAMPLE.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2959,5368d0df-6af0-4613-bee1-f8acbf4d5984,2019/05/27 06:56:57,36
2019/05/27 19:26:35,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/27 00:00:00,2019/05/27 19:35:13,58,1,3,NA,NA,DWA1001,DWa1001,2019/05/22 18:00:00,2019/05/22 22:50:00,2019/05/22 23:05:00,2019/05/23 23:05:00,NA,NA,NA,NA,NA,7,100,3,0,7,10,3,0,0,NA,NA,NA,NA,NA,"39 AND 2 RED COLONIES FOUND FOR 100 ML AND 10 ML OF UNDILUTED SAMPLE, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2960,f2aa0b09-a6f0-4507-8c7f-5f891b3bbf23,2019/05/27 07:05:35,37
2019/05/27 19:35:13,subscriberid not found,simserial not found,enketo.sanipath.org:KwUl3nmJ1FH1Ta6G,2019/05/27 00:00:00,2019/05/27 19:50:22,58,1,7,NA,NA,LS1005,LS1005,2019/05/22 21:00:00,2019/05/22 22:50:00,2019/05/22 23:05:00,2019/05/23 23:05:00,NA,NA,NA,NA,NA,7,10,3,34,6,1,3,0,0,NA,NA,NA,NA,NA,"AT 10 ML (UNDILUTED) AND 1 ML (1:10 DILUTION) OF SAMPLE, THENUMBER/APPEARANCE OF RED COLONIES WERE TDTC AND TNTC, RESPECTIVELY.",4,0,vGuxuKRNcJh7oUGHdmQvJP,2961,3df024e2-c2e8-4acb-a8f7-9cbcc995e69c,2019/05/27 07:20:43,38
