form,variable,population,answer,answer1
s,s_f_a_na,adults,Do not know,Raise your hand if you don't know how often the adults come into contact with floodwater during the rainy season. 
s,s_l_c_3,children,10+,Raise your hand if you used a public latrine in your neighborhood more than 10 times in the past week. 
s,s_l_c_2,children,6 to 10,Raise your hand if you used a public latrine in your neighborhood 6 to 10 times in the past week. 
s,s_l_c_1,children,<5,Raise your hand if you used a public latrine in your neighborhood 5 times or less in the past week. 
s,s_l_c_0,children,Never,Raise your hand if you never used a public latrine in your neighborhood in the past week. 
s,s_l_c_na,children,Do not know,Raise your hand if you do not know how often you used a public latrine in your neighborhood in the past week.
s,s_l_a_3,adults,10+,Raise your hand if the adults used a public latrine in your neighborhood more than 10 times in the past week. 
s,s_l_a_2,adults,6 to 10,Raise your hand if the adults used a public latrine in your neighborhood 6 to 10 times in the past week. 
s,s_l_a_1,adults,<5,Raise your hand if the adults used a public latrine in your neighborhood 5 times or less in the past week. 
s,s_l_a_0,adults,Never,Raise your hand if the adults never used a public latrine in your neighborhood in the past week.
s,s_l_a_na,adults,Do not know,Raise your hand if you don't know how often the adults used a public latrine in the past week.
s,s_bw_c_3,children,10+,Raise your hand if you bathed more than 10 times in the past week. 
s,s_bw_c_2,children,6 to 10,Raise your hand if you bathed 6 to 10 times in the past week. 
s,s_bw_c_1,children,<5,Raise your hand if you bathed 1 to 5 times in the past week. 
s,s_bw_c_0,children,Never,Raise your hand if you never bathed in the past week. 
s,s_bw_c_na,children,Do not know,Raise your hand if you do not know how often you bathed in the past week.
s,s_bw_a_3,adults,10+,Raise your hand if the adults bathed more than 10 times in the past week.
s,s_bw_a_2,adults,6 to 10,Raise your hand if the adults bathed 6 to 10 times in the past week.
s,s_bw_a_1,adults,<5,Raise your hand if the adults bathed 5 times or less in the past week. 
s,s_bw_a_0,adults,Never,Raise your hand if the adults never bathed in the past week.
s,s_bw_a_na,adults,Do not know,Raise your hand if you do not know how often the adults bathed in the past week.
s,s_sf_c_3,children,10+,Raise your hand if you ate street food more than 10 times in the past week. 
s,s_sf_c_2,children,6 to 10,Raise your hand if you ate street food 6 to 10 times in the past week. 
s,s_sf_c_1,children,<5,Raise your hand if you ate street food 1 to 5 times in the past week. 
s,s_sf_c_0,children,Never,Raise your hand if you never ate street food in the past week. 
s,s_sf_c_na,children,Do not know,Raise your hand if you do not know how often you ate street food in the past week. 
s,s_sf_a_3,adults,10+,Raise your hand if the adults ate street food more than 10 times in the past week.
s,s_sf_a_2,adults,6 to 10,Raise your hand if the adults ate street food 6 to 10 time in the past week.
s,s_sf_a_1,adults,<5,Raise your hand if the adults ate street food more than 1 to 5 times in the past week.
s,s_sf_a_0,adults,Never,Raise your hand if the adults never ate street food in the past week.
s,s_sf_a_na,adults,Do not know,Raise your hand if you do not know how often the adults ate street food in the past week.
c,c_odw_a_3,adults,10+,Vote if you drank other water every day.
c,c_odw_a_2,adults,6 to 10,Vote if you drank other water 4 to 6 days within the past week. 
c,c_odw_a_1,adults,<5,Vote if you drank other water 3 days or less within the past week. 
c,c_odw_a_0,adults,Never,Vote if you never drank other water within the past week. 
c,c_odw_a_na,adults,Do not know,Vote if you do not know how often you drank other water within the past week.
c,c_odw_c_3,children,Every day,Vote if your children drank other water every day in the past week. 
c,c_odw_c_2,children,6 to 10,Vote if your children drank other water 4 to 6 days in the past week.
c,c_odw_c_1,children,<5,Vote if your children drank other water 3 days or less in the past week.
c,c_odw_c_0,children,Never,Vote if your children never drank other water in the past week.
c,c_odw_c_na,children,Do not know,Vote if you do not know how often your children drank other water in the past week.
s,s_odw_c_3,children,Every day,Raise your hand if you drank other water every day in the past week. 
s,s_odw_c_2,children,6 to 10,Raise your hand if you drank other water 4 to 6 days in the past week. 
s,s_odw_c_1,children,<5,Raise your hand if you drank other water 3 days or less in the past week. 
s,s_odw_c_0,children,Never,Raise your hand if you never drank other water in the past week. 
s,s_odw_c_na,children,Do not know,Raise your hand if you do not know how often you drank other water in the past week. 
s,s_odw_a_3,adults,Every day,Raise your hand if the adults drank other water every day in the past week.
s,s_odw_a_2,adults,6 to 10,Raise your hand if the adults drank other water 4 to 6 days in the past week. 
s,s_odw_a_1,adults,<5,Raise your hand if the adults drank other water 3 days or less in the past week. 
s,s_odw_a_0,adults,Never,Raise your hand if the adults never drank other water in the past week.
s,s_odw_a_na,adults,Do not know,Raise your hand if you do not know how ofen the adults drank other water in the past week. 
