number,formid,form.com_dd,form.neighbor,form.neighbor_other,form.entity,form.com_gps,form.com_gps_unit,form.com_gps_id,form.com_gps_lat,form.com_gps_lon,form.com_waypoint,form.num_partic,form.num_fem,form.num_male,form.com_q1a,form.com_q1b,form.com_q2a,form.com_q2b,form.com_q3a,form.com_q3b,form.com_q4a,form.com_q4b,form.com_q4c,form.com_q4d,form.com_q4e,form.com_q4f,form.com_q4g,form.com_q4h,form.com_q5a,form.com_q5b,form.com_q5c,form.com_q5d,form.com_q5e,form.com_q5f,form.com_q5g,form.com_q5h,form.com_q6a,form.com_q6b,form.com_q6c,form.com_q6d,form.com_q6e,form.com_q6f,form.com_q6g,form.com_q6h,form.com_q6i,form.com_q6j,form.com_q7a,form.com_q7b,form.com_q7c,form.com_q7d,form.com_q7e,form.com_q7f,form.com_q7g,form.com_q7h,form.com_q8a,form.com_q8b,form.com_q8c,form.com_q8d,form.com_q8e,form.com_q8f,form.com_q8g,form.com_q8h,form.com_q8i,form.com_q8j,form.com_q9a,form.com_q9b,form.com_q9c,form.com_q9d,form.com_q9e,form.com_q9f,form.com_q9g,form.com_q9h,form.com_q10a,form.com_q10b,form.com_q10c,form.com_q10d,form.com_q10e,form.com_q10f,form.com_q10g,form.com_q10h,form.com_q11a,form.com_q11b,form.com_q12a,form.com_q12b,form.com_q12c,form.com_q12d,form.com_q13a,form.com_q13b,form.com_q13c,form.com_q13d,form.com_q14a,form.com_q14b,form.com_q14c,form.com_q14d,form.com_q14e,form.com_q14f,form.com_q15a,form.com_q15b,form.com_q15c,form.com_q15d,form.com_q15e,form.com_q15f,form.com_q16a,form.com_q16b,form.com_q16c,form.com_q16d,form.com_q16e,form.com_q16f,form.com_q16g,form.com_q16h,form.com_q17a,form.com_q17c,form.com_q17e,form.com_q17g,form.com_q17i,form.com_q18a,form.com_q19a,form.com_q19b,form.com_q19c,form.com_q19d,form.com_q19e,form.com_q19f,form.com_q19g,form.com_q19h,form.com_q19i,form.com_q19j,form.com_q20a,form.com_q20b,form.com_q20c,form.com_q20d,form.com_q20e,form.com_q20f,form.com_q20g,form.com_q20h,form.com_q20i,form.com_q20j,form.com_q21a,form.com_q21b,form.com_q21c,form.com_q21d,form.com_q21e,form.com_q21f,form.com_q21g,form.com_q21h,form.com_q21i,form.com_q21j,form.com_q22a,form.com_q22b,form.com_q22c,form.com_q22d,form.com_q22e,form.com_q22f,form.com_q22g,form.com_q22h,form.com_q22i,form.com_q22j,form.com_q23a,form.com_q23b,form.com_q23c,form.com_q23d,form.com_q23e,form.com_q23f,form.com_q23g,form.com_q23h,form.com_q23i,form.com_q23j,form.com_q24a,form.com_q24b,form.com_q24c,form.com_q24d,form.com_q24e,form.com_q24f,form.com_q24g,form.com_q24h,form.com_q24i,form.com_q24j,form.com_q25a,form.com_q25b,form.com_q25c,form.com_q25d,form.com_q25e,form.com_q25f,form.com_q25g,form.com_q25h,form.com_q25i,form.com_q25j,form.com_notes,form.com_enumerator_names,form.ocean_qs,form.surface_qs,completed_time,started_time,username,received_on,caseid,case_name
10,5543c56f-9cbc-4777-a847-70300d8bb625,2016-05-03 09:50:00,Chorkor,---,All Female,5.52617462 -0.24836607 47.0 4.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,6,0,1,0,3,0,5,0,2,0,2,0,5,0,6,0,5,0,1,0,5,0,2,0,2,0,11,0,3,0,1,0,0,0,6,0,1,0,5,0,2,0,1,0,6,0,2,0,6,0,1,0,10,0,2,0,1,0,2,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,7,4,10,9,8,9,7,0,0,0,1,0,0,0,1,0,6,0,1,0,0,0,0,0,2,0,6,0,2,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,1,0,1,0,NA,"Solomon, Ethel, Betty, Irving",1,1,2016-05-03 11:14:34,2016-05-03 09:50:16,iselby,2016-05-03 11:14:41,---,---
11,a902f9cd-9afb-49ff-8951-8bf9edcb8586,2016-06-14 11:06:00,Adabraka,---,Male,5.56123744 -0.21146781 45.0 5.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5,0,0,0,3,0,1,0,6,0,8,0,0,0,2,0,5,0,7,0,2,0,2,0,0,0,4,0,8,0,1,0,3,0,3,0,7,0,3,0,2,0,3,0,6,0,10,0,5,0,8,0,5,0,10,0,0,0,5,0,2,0,8,0,5,0,3,0,5,0,2,0,5,0,6,6,11,1,3,7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,1,1,1,1,1,0,1,0,1,NA,Irving,0,0,2016-06-14 12:21:57,2016-06-14 11:06:26,iselby,2016-06-14 12:22:11,---,---
12,af34e55c-fa4b-4c8e-aff2-6fedf3d961c3,2016-07-04 17:28:00,Ringway,---,Female,5.56452237 -0.18342609 46.0 5.0,No,---,---,---,---,8,8,0,8,0,0,0,8,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,0,2,0,3,0,0,0,1,0,8,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,3,0,2,1,4,1,1,1,0,1,0,1,0,1,2,1,5,1,1,0,8,0,0,0,8,0,0,0,8,0,0,0,0,0,1,0,7,0,0,0,3,0,1,0,3,0,1,0,1,1,7,0,1,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,0,3,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,2,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,NA,"Solomon, Ethel, Irving",0,0,2016-07-04 18:19:05,2016-07-04 17:28:42,iselby,2016-07-04 18:19:12,---,---
13,40e6c9db-0644-44d4-a2e4-04a75b55d315,2016-03-22 10:14:00,Shiabu,---,Shiabu Female Community Group,5.52499991 -0.25684471 47.0 5.0,No,---,---,---,---,12,12,0,12,0,0,0,12,12,1,0,0,0,0,0,11,0,0,0,0,0,2,0,10,0,0,0,2,0,2,0,8,0,---,---,5,0,1,0,1,0,5,0,6,0,0,0,1,0,3,0,2,0,11,0,0,0,0,0,0,0,5,0,1,0,4,0,2,0,0,0,1,0,---,---,0,0,---,---,0,0,1,0,11,0,0,0,0,0,12,0,0,0,0,0,1,0,---,---,2,1,3,6,0,7,0,0,0,0,2,0,5,0,5,0,0,0,0,0,2,0,6,0,3,0,1,1,0,1,2,1,6,1,2,1,2,0,1,0,4,0,0,0,5,0,7,0,1,0,1,0,0,0,3,0,2,0,0,0,2,0,3,0,5,0,6,0,0,0,0,0,2,0,4,0,"Use other languages such as Hausa.

we are happy with the programme.",Ethel and Mercy and Jemimah and James.,1,1,2016-03-22 13:00:33,2016-03-22 10:14:47,test,2016-03-22 13:00:38,---,---
14,b5142211-a145-4735-ab2f-bf57d455bb6d,2016-04-06 09:59:00,Shiabu,---,all female,,No,---,---,---,---,15,15,0,15,0,0,0,15,0,2,0,0,0,2,0,11,0,0,0,0,0,0,0,15,0,4,0,0,0,1,0,10,0,---,---,10,0,1,0,3,0,1,0,5,0,5,0,0,0,3,0,2,0,2,0,2,0,1,0,10,0,6,0,2,0,2,0,5,0,0,0,1,0,---,---,1,0,---,---,1,0,1,0,13,0,1,0,2,0,12,0,1,0,2,0,12,0,---,---,7,2,4,0,2,11,1,0,0,0,1,0,10,0,1,0,0,0,1,0,0,0,7,0,5,0,1,1,1,1,2,1,5,1,3,1,6,0,0,0,2,0,4,0,1,0,4,0,1,0,1,0,5,0,2,0,0,0,3,0,3,0,3,0,4,0,3,0,2,0,1,0,4,0,3,0,"Survey days are best on Thursdays, at 9am","Jemimah, Ethel, Godwin",1,1,2016-04-06 15:52:10,2016-04-06 09:59:23,test,2016-04-07 08:33:06,---,---
15,af297202-7043-411e-8c6d-4055444b96c3,2016-07-05 16:44:00,Ringway,---,Female,5.55747107 -0.18628912 45.0 5.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4,0,4,0,5,0,0,0,2,0,9,0,3,0,2,0,1,0,14,0,0,0,0,0,0,0,1,0,7,1,3,1,2,1,2,1,4,1,6,1,2,1,2,1,3,1,13,1,1,1,13,1,1,1,13,1,0,1,1,1,6,1,7,1,1,1,5,1,3,1,5,1,1,1,9,6,11,2,1,13,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6,0,2,0,0,0,4,0,1,0,6,0,4,0,2,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,2,0,8,0,3,0,0,0,2,0,0,0,NA,"Ethel, Fred, Irving",0,0,2016-07-05 17:58:11,2016-07-05 16:43:25,iselby,2016-07-05 17:58:19,---,---
16,25a166a8-e698-4390-94b5-5ede2398b3a6,2016-06-15 10:57:00,Adabraka,---,MALE,5.5610712 -0.2115262 0.0 26.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,0,1,0,2,0,3,0,6,0,6,0,1,0,2,0,5,0,9,0,1,0,1,0,1,0,3,0,6,0,4,0,4,0,1,0,5,0,10,0,0,0,1,0,5,0,11,0,4,0,7,0,5,0,11,0,3,0,2,0,1,0,9,0,5,0,7,0,4,0,1,0,2,0,6,7,15,8,6,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,0,2,0,1,0,3,0,1,0,1,0,3,0,2,0,0,0,2,0,4,0,3,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,NA,"MICHAEL,SELBY,FRED,SOLOMON,ETHEL,REGY",0,0,2016-06-15 11:55:54,2016-06-15 10:57:23,maggrey,2016-06-15 11:56:02,---,---
17,2b3d19b9-03b0-44f7-b4fc-658c951c5c29,2016-06-13 13:28:00,Adabraka,---,Female,5.56121955 -0.21147039 37.0 4.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7,0,0,0,0,0,2,0,6,0,12,0,0,0,0,0,3,0,4,0,3,0,0,0,5,0,3,0,10,0,0,0,5,0,0,0,7,0,0,0,7,0,1,0,4,0,12,0,3,0,10,0,0,0,12,0,0,0,3,0,6,0,6,0,3,0,5,0,7,0,0,0,3,0,8,6,14,1,1,7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,0,0,0,1,0,2,0,4,0,3,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,2,0,1,0,5,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,NA,"Irving, Ethel, Solomon",0,0,2016-06-13 14:42:25,2016-06-13 13:28:53,iselby,2016-06-13 14:43:31,---,---
18,6fd4a771-30c6-4e26-a00f-0dd431f08b1a,2016-07-20 16:31:00,Kokomlemle,---,MALE,5.58041872 -0.20792198 52.0 6.0,No,---,---,---,---,13,0,13,0,0,13,0,13,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,0,0,0,1,0,3,0,9,0,6,0,2,0,1,0,3,0,1,0,1,0,1,0,8,0,5,0,0,0,2,0,6,0,7,0,5,0,5,0,5,0,0,0,0,0,9,0,6,0,5,1,6,1,4,2,3,2,6,2,0,2,6,2,6,2,1,2,3,2,3,2,6,2,2,9,12,0,0,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,2,1,2,0,2,1,2,1,2,2,2,0,2,1,2,1,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,3,2,0,2,1,2,4,2,0,2,1,2,1,2,0,2,NA,"MICHAEL,FRED",0,0,2016-07-20 18:07:40,2016-07-20 16:31:00,maggrey,2016-07-20 18:08:35,---,---
19,bf020cdb-3f45-44ac-ae86-ae0df186ed53,2016-04-29 09:11:00,Chorkor,---,female,5.52610528 -0.24842175 41.0 4.0,No,---,---,---,---,15,15,0,15,15,0,0,15,0,3,0,2,0,4,0,6,0,2,1,2,1,5,1,5,1,3,0,2,0,4,0,0,0,6,0,5,0,5,0,4,0,1,0,5,0,1,0,5,0,1,0,3,0,11,0,0,0,4,0,0,0,9,0,3,0,2,0,1,0,2,1,1,0,14,0,0,0,15,0,0,0,0,0,15,0,1,1,15,0,13,0,1,0,0,0,1,0,13,0,5,2,7,6,1,13,11,0,0,0,1,0,1,0,0,0,3,0,3,0,1,0,5,0,1,0,6,0,1,0,1,0,2,0,3,0,8,0,3,0,0,0,1,0,1,0,7,0,1,0,2,0,3,0,0,0,3,0,5,0,1,0,2,0,2,0,10,0,0,0,0,0,1,0,2,0,NA,"Solomon, Ethel, Betty, Selby",1,1,2016-04-29 11:48:44,2016-04-29 09:11:21,slaryea,2016-04-29 11:49:16,---,---
20,115bd09f-366c-4807-a092-ca147c1efc06,2016-05-04 09:41:00,Chorkor,---,all Female,5.52618142 -0.24841572 48.0 5.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,2,0,0,0,9,0,4,0,1,1,0,1,3,1,10,1,2,0,0,0,3,0,1,0,9,0,11,0,1,0,2,0,1,0,6,0,0,0,3,0,4,0,2,0,1,0,7,0,7,0,0,0,8,0,2,0,2,0,3,0,2,0,1,0,14,0,0,0,1,0,0,0,1,0,14,0,0,0,1,0,14,0,1,0,0,0,0,0,14,0,8,9,11,6,2,10,6,0,0,0,2,0,0,0,2,0,5,0,0,0,1,0,3,0,1,0,6,0,1,0,1,0,1,0,1,0,14,0,0,0,0,0,1,0,0,0,2,0,3,0,3,0,2,0,0,0,3,0,1,0,3,0,3,0,0,0,5,0,2,0,1,0,1,0,1,0,NA,"Betty, Solomon, Ethel, Irving",1,1,2016-05-04 11:12:31,2016-05-04 09:41:03,iselby,2016-05-04 11:12:39,---,---
