number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
10,49b0bd49-b1c6-4568-876a-1ec686020b3e,131,131,---,8,---,---,---,---,2016-05-05,09:46:00.000Z,5.52563206 -0.23947162 -1.0 4.0,130,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,2,---,---,---,---,---,---,---,---,---,9999,within 3m of trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-58636e5dc8315faeab57f1516ae7e773,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-05 20:47:28,2016-05-05 20:45:43,rkuddy,2016-05-05 09:51:26,---,---
11,3a8bbaf5-8660-49a7-a272-4d49428b4073,558,558,---,1,S,---,---,19,2016-07-18,15:03:00.000Z,5.57495148 -0.20764579 45.0 5.0,558,WRI 3,Kokomlemle,---,---,---,---,1,1,2,1,0,0,0,0,1,4,0,0,1,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled with trash,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-02fcdbbe02bf3952ccf1452587b0c291,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-18 15:05:51,2016-07-18 15:02:50,rkuddy,2016-07-18 15:06:10,---,---
12,3d8caf3d-bb2c-4f79-9302-d727720f09c3,542,542,---,7,---,---,---,---,2016-07-08,10:50:00.000Z,5.55843878 -0.183072 17.0 5.0,542,WRI 0,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,6,1,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-457b85298afab8602b5119a628b2582a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-08 10:54:56,2016-07-08 10:49:52,cafrimpong,2016-07-08 11:33:29,---,---
13,3e658b40-141c-4c28-8063-d4b5ddd60119,350,350,---,7,---,---,---,---,2016-06-17,11:44:00.000Z,5.56107644 -0.21521175 31.0 5.0,350,WRI 5,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,1,7,1,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-00569245c47025bda363598c29209781,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-17 11:47:16,2016-06-17 11:43:41,cafrimpong,2016-06-22 09:54:25,---,---
14,3b36039f-7757-46e4-9482-e7d23930cc2f,835,835,---,2,---,---,---,---,2016-03-24,09:50:00.000Z,5.53513428 -0.25717569 41.0 5.0,0,NA,Shiabu,---,---,Carrot,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"Christian, Mario, Bert Boi",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-2d07e4a532c83fb8b03f0899aa5bf74f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-24 09:53:49,2016-03-24 09:49:53,test,2016-03-24 09:53:56,---,---
15,3c40c120-f402-4502-8e23-9b9d2d53d12e,244,244,---,1,T,---,1,---,2016-05-19,07:40:00.000Z,5.52941514 -0.2446452 49.0 5.0,244,WRI 2,Chorkor,---,---,---,---,1,1,1,1,0,0,0,1,1,3,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-4bbc02e6e0caabdfeeab69497736fcc5,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-19 18:43:36,2016-05-19 18:37:41,rkuddy,2016-05-19 07:44:13,---,---
16,38434614-863d-4035-abb8-02a3c9907c5f,767,767,---,7,---,---,---,---,2016-04-27,11:26:00.000Z,5.5285923 -0.24440909 52.0 5.0,2214,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,5,---,1,0,10,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-6c52a4979becfe7eeb6740deb407acc6,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 22:27:59,2016-04-27 22:24:59,rkuddy,2016-04-27 11:28:35,---,---
17,5fa3c96d-d427-4702-b103-1a4cb7fe06f4,834,834,---,1,S,---,---,3,2016-03-24,09:35:00.000Z,5.53531919 -0.25599629 50.0 4.0,0,N/A,Shiabu,---,---,---,---,1,1,2,1,0,1,0,0,1,3,0,1,1,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"public washroom 3m from site, A saloon 5m from site and a School 8m from sampling site","Christian, Mario,  Bert Boi",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-52d9b5191eef1ad58c095c7714ec3f91,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-24 09:40:32,2016-03-24 09:34:11,test,2016-03-24 09:40:36,---,---
18,5dfe0a8f-d391-4489-9a40-4e2d5201c014,415,415,---,3,---,---,---,---,2016-06-24,11:10:00.000Z,5.55475496 -0.18743518 61.0 3.0,415,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.27,0.39,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of latrine,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-92aef386cf0151242ef170de307424da,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-24 11:13:03,2016-06-24 11:09:59,rkuddy,2016-06-24 11:14:55,---,---
19,5b88aea7-7516-4db9-b932-0356229b1659,710,710,---,7,---,---,---,---,2016-04-25,12:01:00.000Z,5.52684607 -0.24195985 35.0 9.0,815,WRI 3,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,4,---,2,2,50,1,---,no soap at hand washing station,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-da26f157570d716371802e0e832c42f3,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-25 12:12:18,2016-04-25 12:00:36,mchrisk,2016-04-27 11:48:49,---,---
20,59695a49-fc4f-4eeb-b0a5-63f192abf4d2,816,816,---,7,---,---,---,---,2016-03-31,09:54:00.000Z,5.52310669 -0.25512284 25.0 5.0,31,03,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public laterine, laterine wall",2,---,11,3,9999,1,---,No soap available at handwashing station,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-223a51d6ec0c41c7f9b2aefa1a96a03b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-31 10:02:10,2016-03-31 09:53:29,test,2016-06-03 16:51:35,---,---
21,5a04bf1c-f485-4df1-b93a-d24dafc989c1,187,187,---,8,---,---,---,---,2016-05-11,11:14:00.000Z,5.52624785 -0.24688895 20.0 5.0,187,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,1,---,---,---,---,---,---,---,---,---,3,"Within 3m of schpol laterine, school playground","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-0fb9bf474e1bfe6c9789439b2a219dfc,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-11 11:19:24,2016-05-11 11:14:10,cafrimpong,2016-06-03 17:12:32,---,---
22,5ea745ba-3845-495f-893f-bd2dcbe8e257,870,870,---,2,---,---,---,---,2016-03-21,10:40:00.000Z,5.52322546 -0.25452206 48.0 4.0,0,NA,Shiabu,---,---,tomato,4,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"Bert Boi, Mario, Christian, Jimmy, Habib",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-f284ea9f2d3a6fa57f2f9c9690faa9dc,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/a333c6cb17571b6d292bb33fa34deb9f/,sp-accra,2016-03-21 10:47:38,2016-03-21 10:38:21,test,2016-03-21 10:47:43,---,---
23,a03f5e8c-be47-4731-b160-2aad27828fd1,887,887,---,4,---,---,---,---,2016-03-29,11:13:00.000Z,5.52123089 -0.26281451 28.0 17.0,7,spigen,Shiabu,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of trash,"MC,BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-36e36a716ca65a4b80ef704d02b8ed5f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-29 11:14:40,2016-03-29 11:12:16,test,2016-06-03 16:49:44,---,---
24,9e2f2e52-0fff-447b-bfce-8e2430ec664d,861,861,---,1,S,---,---,3,2016-03-22,09:43:00.000Z,5.52304598 -0.25544331 31.0 5.0,0,NA,Shiabu,---,---,---,---,1,2,2,1,0,0,0,0,1,5,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"Bert Boi, Mario, Christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-f13bb2b59cb8bb078c82bc09cbbe2168,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-22 09:47:15,2016-03-22 09:42:29,test,2016-03-23 08:49:40,---,---
25,9ebf901a-1d4c-4330-bee1-33bc87edb8c8,580,580,---,1,T,---,1,---,2016-07-19,09:53:00.000Z,5.5743797 -0.20960065 63.0 5.0,580,WRI 3,Kokomlemle,---,---,---,---,1,2,1,1,0,0,0,0,0,---,1,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Sample was taken within a school compound,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-3123463614d67dc243f985c3263e48bc,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-19 09:56:07,2016-07-19 09:52:46,rkuddy,2016-07-19 10:09:19,---,---
26,a136c3b4-636f-4868-b382-33be581dcbea,462,462,---,2,---,---,---,---,2016-07-04,09:54:00.000Z,5.58015979 -0.20777539 74.0 3.0,462,WRI 4,Kokomlemle,---,---,Tomatoes,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Sampled within mallata main market,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-4429aba9570f984cd4bb0c53cecea4df,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 09:56:51,2016-07-04 09:54:14,mchrisk,2016-07-04 09:56:59,---,---
27,aa4d3fa9-ffc0-401e-9680-b701d0641a37,299,299,---,6,---,---,---,---,2016-06-10,09:53:00.000Z,5.56233957 -0.21254046 44.0 4.0,299,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10,Within 3m of open drain and 10 m of market,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-4f87a60203c163ef8803188802db1ac5,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-10 09:55:36,2016-06-10 09:51:58,mchrisk,2016-06-10 09:55:45,---,---
28,a729e762-ab75-4910-9b02-40360bba1608,786,786,---,8,---,---,---,---,2016-07-05,12:55:00.000Z,5.57583346 -0.20523981 51.0 5.0,786,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,35,school entrance sampled.,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-6c402127c6e1c02a0ef8c5c8c0afa806,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 12:56:44,2016-07-05 12:53:19,rkuddy,2016-07-05 12:58:41,---,---
29,acd00b36-8cec-4a09-af86-b265601e4be0,108,108,---,3,---,---,---,---,2016-05-03,12:41:00.000Z,5.52611261 -0.24207717 34.0 5.0,108,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.0,0.12,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"CKAF, MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-f0e20eaa654b644e8d2dbdb43a7706aa,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-03 12:44:53,2016-05-03 12:40:48,mchrisk,2016-05-05 15:11:30,---,---
30,adb1bc05-50c1-44bf-943a-e79477b52960,725,725,---,7,---,---,---,---,2016-04-27,13:10:00.000Z,5.52943162 -0.24373237 50.0 4.0,8114,SP 3,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,0,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-f6d04ba32c3a33701073d7976e976307,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 13:12:02,2016-04-27 13:10:06,mchrisk,2016-04-27 13:12:07,---,---
31,9df02a98-337b-473b-81fd-4d6c0e45d3b3,302,302,---,1,T,---,5,---,2016-06-14,11:04:00.000Z,5.56301243 -0.20995612 60.0 3.0,23,WRI 15,Adabraka,---,---,---,---,1,2,1,1,0,0,0,0,0,---,1,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Drain water filled with leaves, portions of drain within 3m dry","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-ba9042bec8e79df689d9bf3e8cadb27b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-14 11:08:35,2016-06-14 11:04:12,mchrisk,2016-06-14 11:08:44,---,---
