deviceid,h_start_dt,h_end_dt,h_today,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_c5,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt_note,h_dw_e_wt,h_dw_e_wt_other,h_bw,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_da,h_da_a,h_da_a_other,h_da_c,h_da_c_other,h_l,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_od,h_pl_a_od/1,h_pl_a_od/3,h_pl_a_od/2,h_pl_a_od/5,h_pl_a_od/4,h_pl_a_od/7,h_pl_a_od/6,h_pl_a_od_other,h_end,hh_end,hh_time_end,h_notes,h_enum,__version__,_id,_uuid,_submission_time,_index
352155092270731,,,,1009,2019-05-01T13:10:00.000+05:30,22.552172 88.3997011 -52.5 5.0,22.552172,88.3997011,-52.5,5.0,1,1,0,4,1,0,,4,,4,,,4,,4,,,4,,4,,,1,,1,,,2,,,2,,2,,,3,,3,,1,,,4,,3,,,4,,3,,,1,,1,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-01 13:10:06,None,"13,14,15",vRXyDmVVcN2wnD2b8R7La7,2741,bdf80336-a7cd-4d98-b2a3-c72ab591440c,2019-05-01T09:24:59,11
352155090263209,,,,1012,2019-05-01T12:54:00.000+05:30,22.5527508 88.3988193 -43.400001525878906 6.5,22.5527508,88.3988193,-43.400001525878906,6.5,1,1,1,3,1,0,,4,,4,,,4,,4,,,1,,3,,,1,,1,,,2,,,2,,2,,,3,,3,,1,,,3,,4,,,3,,3,,,1,,2,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-01 12:54:08,,16,vRXyDmVVcN2wnD2b8R7La7,2744,a6c86c29-db37-4bae-ae56-f4013f78a3a8,2019-05-01T09:26:48,12
352155092292842,2019-06-13T13:26:36.000+06:30,2019-06-13T13:28:21.000+06:30,2019-06-13,1013,2019-05-13T11:58:00.000+05:30,22.5536797 88.3980171 -58.0 5.0,22.5536797,88.3980171,-58.0,5.0,1,1,0,4,1,0,,4,,4,,,4,,4,,,1,,1,,,1,,1,,,2,,,2,,2,,,3,,4,,1,,,3,,1,,,4,,2,,,4,,4,,,1,,1,,1,,2,,1 2,1,0,1,0,0,0,0,,,1,2019-05-13 11:57:59,"There is a open drain in front of the household.
Shared latrine is used by 3 households.","13, 12, and 10",vumEmASFwV57vrNwbvho6q,2793,8535873c-a8b8-4b04-8079-3f5bc2f94db8,2019-05-13T10:28:19,13
352155092292842,,,,1014,2019-05-13T13:17:00.000+05:30,22.5538309 88.3972544 -32.900001525878906 5.0,22.5538309,88.3972544,-32.900001525878906,5.0,1,1,0,5,1,0,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,1,,1,,,1,,1,,1,,,3,,1,,,2,,1,,,1,,1,,,1,,1,,1,,2,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-13 13:00:22,"Swage is passing in front of the household, not through drains.
Shared latrine is used by 14 household.","13,12,10",vaEKcNoT2z7XGotPoZPWz4,2794,ed87d522-bf70-4f12-a6be-67ae4ba98f14,2019-05-13T10:28:21,14
352155092331921,,,,1016,2019-05-09T11:38:00.000+05:30,22.5537513 88.3973426 -87.69999694824219 4.0,22.5537513,88.3973426,-87.69999694824219,4.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,2,,,1,,1,,,4,,4,,4,Did not eat raw produce in last seven days.,,1,,1,,,4,,4,,,4,,4,,,1,,1,,1,,2,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-09 11:37:48,Very close to open drain and they use tap water for both drinking and bathing.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2796,e3addda5-8766-4f0c-ac81-55e5e041b77d,2019-05-13T10:34:17,15
352155092331921,,,,1015,2019-05-13T11:58:00.000+05:30,22.5538498 88.3971382 -39.79999923706055 4.5,22.5538498,88.3971382,-39.79999923706055,4.5,1,1,1,6,1,1,,4,,4,,,1,,1,,,2,,2,,,1,,1,,,2,,,1,,1,,,3,,3,,1,,,3,,3,,,3,,3,,,4,,4,,,1,,1,,1,,1,,2 4,0,0,1,0,1,0,0,,,1,2019-05-13 11:58:20,Close to open drain and latrine..,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2797,3d594da8-4e6a-403b-945a-f3baf04f064a,2019-05-13T10:34:19,16
352155092331921,,,,1031,2019-05-13T12:36:00.000+05:30,22.5526424 88.3993215 -25.200000762939453 5.0,22.5526424,88.3993215,-25.200000762939453,5.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,3,,3,,,1,,1,,,2,,,2,,1,,,3,,2,,1,,,3,,3,,,4,,1,,,4,,4,,,1,,1,,1,,2,,2 4,0,0,1,0,1,0,0,,,1,2019-05-13 12:35:59,They use their latrine with 12 to 13 households.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2798,db9e4013-787c-4c36-8ac1-f8739bb16b44,2019-05-13T10:34:22,17
352155092320437,,,,1018,2019-05-14T12:18:00.000+05:30,22.5532635 88.3980583 -56.0 4.5,22.5532635,88.3980583,-56.0,4.5,1,1,1,4,1,1,,3,,4,,,1,,1,,,3,,4,,,1,,1,,,2,,,1,,1,,,2,,2,,1,,,3,,2,,,3,,3,,,1,,1,,,2,,,,,,,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-14 12:18:35,Very close to open drain and they use corporation tap water for drinking and salted tap water for other household work.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2816,fd391a46-1b52-482b-b6f6-97dd8d02b8d3,2019-05-14T10:45:43,18
352155092320437,,,,1021,2019-05-14T12:41:00.000+05:30,22.5530009 88.3982614 -22.200000762939453 5.0,22.5530009,88.3982614,-22.200000762939453,5.0,1,1,1,5,1,0,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,2,,,1,,1,,,3,,3,,1,,,3,,3,,,4,,1,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-14 12:41:03,They use corporation tap water for drinking and salted tap water for bathing and other household work.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2817,56472b15-557d-4133-af51-b29cd9e504ed,2019-05-14T10:45:45,19
352155091917142,,,,1019,2019-05-14T12:18:00.000+05:30,22.5530608 88.3981255 -31.299999237060547 5.0,22.5530608,88.3981255,-31.299999237060547,5.0,1,1,1,4,1,0,,4,,4,,,4,,4,,,1,,1,,,1,,1,,,2,,,1,,1,,,3,,3,,1,,,3,,3,,,4,,4,,,2,,2,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-14 12:18:06,Latrine share by 3 household,"12,10,13",vaEKcNoT2z7XGotPoZPWz4,2818,22608672-aa85-4873-9201-560b3a5359d6,2019-05-14T10:47:15,20
352155091917142,,,,1020,2019-05-14T12:29:00.000+05:30,22.5530887 88.3981202 -47.0 5.0,22.5530887,88.3981202,-47.0,5.0,1,1,1,5,1,0,,4,,4,,,4,,4,,,1,,1,,,1,,1,,,2,,,1,,1,,,3,,3,,1,,,3,,2,,,3,,3,,,1,,1,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-14 12:29:34,Latrine shared by 3 household,"10,12,13",vaEKcNoT2z7XGotPoZPWz4,2819,861bd9b3-c49b-4b5e-9e2a-0fa0d30f98c8,2019-05-14T10:47:17,21
352155091917142,,,,1022,2019-05-15T12:12:00.000+05:30,22.5528952 88.3984408 -64.80000305175781 4.5,22.5528952,88.3984408,-64.80000305175781,4.5,1,2,1,8,1,1,,3,,4,,,3,,4,,,3,,3,,,1,,1,,,2,,,1,,1,,,2,,2,,1,,,3,,3,,,4,,3,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-15 12:11:57,Latrine shared by 5 household.,"10,12,13",vaEKcNoT2z7XGotPoZPWz4,2841,b55deea5-8f3d-4702-991b-c04cc548f538,2019-05-15T09:53:56,22
352155091917142,,,,1023,2019-05-15T12:39:00.000+05:30,22.5536458 88.398523 -55.900001525878906 5.0,22.5536458,88.398523,-55.900001525878906,5.0,1,1,1,5,1,1,,4,,4,,,4,,4,,,1,,1,,,1,,1,,,2,,,1,,2,,,2,,2,,1,,,3,,4,,,2,,2,,,2,,2,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-15 12:39:39,"There is a cannel behind the household.
Latrine is shared by 7 household.","10,12,13",vaEKcNoT2z7XGotPoZPWz4,2842,4ef8933e-9e3d-480c-b686-a0fd8e56bd44,2019-05-15T09:53:58,23
352155092320437,,,,1017,2019-05-15T11:57:00.000+05:30,22.5536565 88.3977005 -30.700000762939453 5.0,22.5536565,88.3977005,-30.700000762939453,5.0,1,1,1,6,1,1,,4,,4,,,1,,1,,,4,,4,,,4,,4,,,2,,,1,,2,,,3,,3,,1,,,3,,3,,,4,,2,,,1,,1,,,2,,,,,,,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-15 11:56:56,They use purchase mineral water for drinking and tap water for bathing and other household work.They use their toilet more than 6 households.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2843,1a58bab8-c1de-4973-99bf-3b79e84dd278,2019-05-15T09:55:12,24
352155092320437,,,,1024,2019-05-15T12:10:00.000+05:30,22.5535378 88.3984869 -46.79999923706055 5.0,22.5535378,88.3984869,-46.79999923706055,5.0,1,1,1,4,1,0,,4,,4,,,4,,4,,,4,,4,,,1,,1,,,2,,,1,,1,,,2,,2,,1,,,3,,3,,,4,,3,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-15 12:10:31,They use corporation water tank for drinking and tap water for bathing and other household work. They share their toilet more than 6 households.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2844,c77a1f0e-b8bc-4919-ba9d-60571e6d511b,2019-05-15T09:55:13,25
352155091917142,,,,1025,2019-05-16T12:09:00.000+05:30,22.5535053 88.3986493 -39.0 5.0,22.5535053,88.3986493,-39.0,5.0,1,1,1,4,1,1,,4,,4,,,4,,4,,,4,,4,,,1,,1,,,2,,,1,,1,,,3,,2,,1,,,3,,1,,,3,,2,,,2,,1,,,2,,,,,,,,1,1,0,0,0,0,0,0,,,1,2019-05-16 12:08:55,Latrine is shared by 20 household.,"12,13,10",vaEKcNoT2z7XGotPoZPWz4,2864,e99c1c97-4824-4acf-af93-f22867f3312e,2019-05-16T09:39:41,26
352155091917142,,,,1026,2019-05-16T12:25:00.000+05:30,22.5534145 88.3986877 -61.900001525878906 5.0,22.5534145,88.3986877,-61.900001525878906,5.0,1,2,1,9,1,1,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,2,,,2,,1,,,2,,2,,1,,,2,,2,,,2,,3,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-16 12:25:33,Latrine is shared by 20 household.,"10,12,13",vaEKcNoT2z7XGotPoZPWz4,2865,04bbfdbb-d006-4228-a0e0-ae2a4921bfaf,2019-05-16T09:39:44,27
352155092320437,2019-06-13T11:41:49.000+06:30,2019-06-13T11:44:20.000+06:30,2019-06-13,1027,2019-05-16T12:07:00.000+05:30,22.552811 88.3985715 -60.400001525878906 5.0,22.552811,88.3985715,-60.400001525878906,5.0,1,1,1,4,1,1,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,2,,,2,,1,,,3,,3,,1,,,4,,3,,,3,,3,,,4,,4,,,1,,1,,1,,2,,2 4,0,0,1,0,1,0,0,,,1,2019-05-16 12:05:11,"They use municipal water for drinking and use salted water for other household chores. They have private latrine ,share with 1 household ,i.e. brother.","09,11,16.",vumEmASFwV57vrNwbvho6q,2866,e42d69e3-24ba-43ec-a86d-025398d2ba17,2019-05-16T09:40:52,28
352155092320437,,,,1028,2019-05-16T12:45:00.000+05:30,22.5528679 88.3985956 -55.70000076293945 5.0,22.5528679,88.3985956,-55.70000076293945,5.0,1,1,1,5,1,0,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,2,,,1,,1,,,3,,3,,1,,,3,,3,,,3,,3,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-16 12:44:20,"They use municipal water for drinking ,tap salted water for other household courses.","09,11,16.",vaEKcNoT2z7XGotPoZPWz4,2867,efcef879-9b8d-4364-93da-26237aefe93f,2019-05-16T09:40:54,29
352155092215793,,,,1029,2019-05-21T11:59:00.000+05:30,22.5527529 88.3989349 -27.799999237060547 4.5,22.5527529,88.3989349,-27.799999237060547,4.5,1,1,1,3,1,0,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,1,,2,,,3,,3,,1,,,3,,3,,,3,,4,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-21 11:59:21,"Latrine is shared by 22 household.
Here is problem of Drinking water.","10, 12, 13",vaEKcNoT2z7XGotPoZPWz4,2887,1317c370-4dea-4be6-adc5-00ca1d8378cf,2019-05-21T10:44:05,30
352155092215793,,,,1030,2019-05-21T12:23:00.000+05:30,22.5527198 88.3991933 -37.29999923706055 5.0,22.5527198,88.3991933,-37.29999923706055,5.0,1,1,1,6,1,0,,4,,4,,,4,,4,,,1,,1,,,1,,4,,,2,,,1,,2,,,2,,3,,1,,,4,,4,,,4,,3,,,2,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-21 12:22:57,"Latrine is shared by the household and the house have  2 men as tenants.
Dairy products is consumed by father daily.","10,12,13",vaEKcNoT2z7XGotPoZPWz4,2888,c2bc3c02-6a37-44f7-9faa-142ee28504a8,2019-05-21T10:44:08,31
352155092292842,,,,1033,2019-05-21T12:08:00.000+05:30,22.5525515 88.3986078 -38.599998474121094 5.0,22.5525515,88.3986078,-38.599998474121094,5.0,1,2,1,8,1,0,,4,,4,,,1,,5,,,4,,4,,,1,,1,,,2,,,1,,1,,,3,,3,,1,,,3,,3,,,4,,4,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-21 12:08:06,The household is very close to open drain. There  are two sources  of  corporation water supply for drinking and doing other household chores. They share toilet more than ten households.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2889,25d64f7c-464b-449f-94bf-022af1b32201,2019-05-21T10:45:08,32
352155092292842,,,,1032,2019-05-21T12:21:00.000+05:30,22.5537171 88.3975355 -55.20000076293945 5.0,22.5537171,88.3975355,-55.20000076293945,5.0,1,1,1,4,1,1,,4,,4,,,3,,2,,,4,,4,,,4,,4,,,2,,,2,,1,,,3,,3,,1,,,4,,3,,,2,,3,,,1,,1,,,2,,,,,,,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-21 12:21:06,They use packaged water for drinking and corporation Water for bathing and doing other household work.They shared their latrine more than six household.,"09,11,16",vaEKcNoT2z7XGotPoZPWz4,2890,c9d9c3d8-8979-40b4-8a5d-04644c351c7f,2019-05-21T10:45:10,33
352155092265277,,,,1034,2019-05-22T11:53:00.000+05:30,22.5528237 88.3989173 -48.5 5.0,22.5528237,88.3989173,-48.5,5.0,1,1,1,4,1,1,,4,,1,,,1,,1,,,1,,1,,,1,,1,,,2,,,1,,1,,,3,,4,,1,,,3,,3,,,3,,3,,,1,,1,,,2,,,,,,,,1 2,1,0,1,0,0,0,0,,,1,2019-05-22 11:53:42,"Open drain in front of the household 
Latrine shared by 22 household.","10,12,13",vaEKcNoT2z7XGotPoZPWz4,2899,838edea1-ae15-4ef9-bdc5-f1471c53561a,2019-05-22T09:57:42,34
352155092265277,,,,1036,2019-05-22T12:08:00.000+05:30,22.5524982 88.3987573 -85.80000305175781 5.0,22.5524982,88.3987573,-85.80000305175781,5.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,4,,4,,,1,,1,,,1,,,2,,2,,,3,,3,,1,,,3,,3,,,4,,4,,,2,,2,,,2,,,,,,,,2,0,0,1,0,0,0,0,,,1,2019-05-22 12:08:31,Latrine shared by 10 household.,"10,12,13",vaEKcNoT2z7XGotPoZPWz4,2900,a778cb59-6608-465e-98a8-cc006be24dad,2019-05-22T09:57:44,35
352155092265277,,,,1037,2019-05-22T12:21:00.000+05:30,22.5524071 88.3989452 -72.19999694824219 5.0,22.5524071,88.3989452,-72.19999694824219,5.0,1,1,1,4,1,0,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,1,,2,,,2,,2,,1,,,3,,3,,,3,,3,,,1,,1,,,2,,,,,,,,2 4,0,0,1,0,1,0,0,,,1,2019-05-22 12:21:37,"Latrine is shared by 6 household.
Covered and partly open drain in front of house and they always walk over the drain.","10,12,13",vaEKcNoT2z7XGotPoZPWz4,2901,5985676f-4e65-4dad-9556-77bba089c0a4,2019-05-22T09:57:46,36
352155092270731,2019-06-13T11:10:50.000+06:30,2019-06-13T11:11:45.000+06:30,2019-06-13,1039,2019-05-22T12:02:00.000+05:30,22.5521346 88.3991844 -50.0 5.0,22.5521346,88.3991844,-50.0,5.0,1,1,1,4,1,1,,4,,4,,,1,,1,,,2,,2,,,1,,1,,,2,,,2,,1,,,3,,3,,1,,,3,,3,,,4,,3,,,4,,4,,,1,,1,,1,,2,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-22 12:01:53,Source of drinking water and hosuesold chores are  different.,"09,11,16",vumEmASFwV57vrNwbvho6q,2902,b915e32a-0e81-4f75-9a33-29a6f361265d,2019-05-22T09:58:39,37
352155092270731,2019-06-13T11:09:04.000+06:30,2019-06-13T11:09:53.000+06:30,2019-06-13,1040,2019-05-22T12:16:00.000+05:30,22.552132 88.3994118 -57.29999923706055 5.0,22.552132,88.3994118,-57.29999923706055,5.0,1,1,1,4,1,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,1,,,1,,1,,,3,,2,,1,,,3,,2,,,3,,3,,,4,,4,,,1,,1,,1,,2,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-22 12:15:19,Sources  of drinking water and household chores are different. They boiled drinking water for their children. They have their own latrine and share their latrine with 19 tenants.,"09,11,16",vumEmASFwV57vrNwbvho6q,2903,99efecad-2690-4cc1-bf0a-9fff509744b6,2019-05-22T09:58:41,38
352155092270731,2019-06-13T11:07:55.000+06:30,2019-06-13T11:08:42.000+06:30,2019-06-13,1041,2019-05-22T12:29:00.000+05:30,22.5526436 88.3986212 -137.1999969482422 5.0,22.5526436,88.3986212,-137.1999969482422,5.0,1,1,1,5,1,1,,4,,4,,,2,,3,,,1,,1,,,1,,1,,,2,,,2,,1,,,2,,2,,1,,,4,,2,,,4,,4,,,4,,4,,,1,,1,,1,,2,,1 2 4,1,0,1,0,1,0,0,,,1,2019-05-22 12:29:07,Sources of drinking water and household chores are different.The caregiver boils drinking water for her infant. They have their private latrine and share the latrine with 2 tenants,"09,11,16",vumEmASFwV57vrNwbvho6q,2904,a2f350ac-3c8f-4f28-b54a-ba43d61f660c,2019-05-22T09:58:44,39
352155092265277,,,,1042,2019-05-24T12:14:00.000+05:30,22.5526606 88.3991565 -51.099998474121094 5.0,22.5526606,88.3991565,-51.099998474121094,5.0,1,1,1,6,1,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,2,,1,,,3,,3,,1,,,2,,2,,,3,,3,,,1,,4,,,2,,,,,,,,5,0,0,0,1,0,0,0,,,1,2019-05-24 12:13:57,"Latrine is shared by 7 household.
Children deficate in open drain always.
There are some chicken and pegion in the household.","10,12,13",vaEKcNoT2z7XGotPoZPWz4,2966,e6a6ea7c-7999-4b11-8ddd-011de14dd798,2019-05-27T10:07:45,40
