c_group,c_start,c_coordinates,_c_coordinates_latitude,_c_coordinates_longitude,_c_coordinates_altitude,_c_coordinates_precision,c_neighborhood,c_rainweek,c_participant_num,c_participant_gender,c_participant_female_obs,c_participant_male_obs,c_participant_n1,c_participant_n2,c_participant_n3,c_participant_n4,c_participant_n5,c_c_y,c_c_n,c_d_a_3,c_d_a_2,c_d_a_1,c_d_a_0,c_d_a_na,c_f_a_3,c_f_a_2,c_f_a_1,c_f_a_0,c_f_a_na,c_dw_a_3,c_dw_a_2,c_dw_a_1,c_dw_a_0,c_dw_a_na,c_dw_e_wt_1,c_dw_e_wt_0,c_dw_e_wt_na,c_bw_a_3,c_bw_a_2,c_bw_a_1,c_bw_a_0,c_bw_a_na,c_p_a_3,c_p_a_2,c_p_a_1,c_p_a_0,c_p_a_na,c_p_e_2,c_p_e_1,c_p_e_na,c_sf_a_3,c_sf_a_2,c_sf_a_1,c_sf_a_0,c_sf_a_na,c_pl_a_th_1,c_pl_a_th_0,c_pl_a_th_na,c_pl_a_tu_1,c_pl_a_tu_0,c_pl_a_tu_na,c_pl_a_tu_nl,c_pl_a_tw_1,c_pl_a_tw_0,c_pl_a_tw_na,c_pl_a_tw_nl,c_pl_a_tf_1,c_pl_a_tf_0,c_pl_a_tf_na,c_pl_a_tf_nl,c_participant_female_obs_mid,c_participant_male_obs_mid,c_d_c_3,c_d_c_2,c_d_c_1,c_d_c_0,c_d_c_na,c_f_c_3,c_f_c_2,c_f_c_1,c_f_c_0,c_f_c_na,c_dw_c_3,c_dw_c_2,c_dw_c_1,c_dw_c_0,c_dw_c_na,c_bw_c_3,c_bw_c_2,c_bw_c_1,c_bw_c_0,c_bw_c_na,c_p_c_3,c_p_c_2,c_p_c_1,c_p_c_0,c_p_c_na,c_sf_c_3,c_sf_c_2,c_sf_c_1,c_sf_c_0,c_sf_c_na,c_participant_female_obs_end,c_participant_male_obs_end,c_notes,c_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
DTKMousdalipha2,2019-11-21T10:40:00.000Z,14.764048333333335 -17.3859 15.0 4.7,14.764048333333335,-17.3859,15.0,4.7,411,0,15,1,15,0,0,0,15,0,0,15,0,13,0,0,1,1,6,0,6,2,1,15,0,0,0,0,4,11,0,15,0,0,0,0,6,9,0,0,0,15,0,0,9,2,3,1,0,14,0,1,15,0,0,0,15,0,0,0,14,1,0,0,15,0,8,3,1,3,0,9,1,4,1,0,15,0,0,0,0,14,1,0,0,0,10,4,1,0,0,9,4,0,0,2,15,0,"Manque d'ouvrages d'assainissement,  Existence de la vidange manuelle. ","AMD,  A MB,  ST,  TD et AD. ",uuid:50be2463-671c-4479-809e-e8a9c12a2934,50be2463-671c-4479-809e-e8a9c12a2934,2019-11-21T15:04:40,,
DTKMousdalipha2,2019-11-21T12:04:00.000Z,14.764005000000001 -17.385898333333333 12.1 4.1,14.764005000000001,-17.385898333333333,12.1,4.1,411,0,15,0,0,15,0,0,15,0,0,15,0,8,4,1,2,0,8,4,2,1,0,15,0,0,0,0,1,14,0,12,3,0,0,0,4,6,4,1,0,12,0,3,7,4,3,1,0,15,0,0,15,0,0,0,14,1,0,0,15,0,0,0,0,15,8,4,0,2,1,8,5,1,1,0,15,0,0,0,0,11,3,0,0,1,7,8,0,0,0,6,7,1,0,1,0,15,"Infiltration de la nappe phratique dans l'eau du robinet,  manque d'assainissement,  enclavement, inondations,  vidange manuelle,  dépôts sauvages d'ordures. ","AMD, AMB, AD, ST et TD. ",uuid:352b6cbb-eccb-4fdc-8dab-4fae3f30ace3,352b6cbb-eccb-4fdc-8dab-4fae3f30ace3,2019-11-21T15:04:41,,
RufisqueEstArafat3Kippbi,2019-11-22T11:06:00.000Z,14.720210000000002 -17.259241666666664 73.6 5.0,14.720210000000002,-17.259241666666664,73.6,5.0,412,0,15,1,15,0,0,0,0,15,0,15,0,14,0,0,0,1,7,1,3,1,3,13,0,0,2,0,8,7,0,10,3,2,0,0,6,5,4,0,0,13,0,2,4,1,9,1,0,15,0,0,15,0,0,0,15,0,0,0,11,4,0,0,15,0,13,1,0,1,0,10,1,1,3,0,15,0,0,0,0,14,0,1,0,0,12,3,0,0,0,12,0,1,2,0,15,0,"Nécessité d'avoir des ouvrages d'évacuation des eaux usées,  dépôts d'ordures sauvages. ","AMD,  AMB, AD, TD et ST. ",uuid:c72c1edc-ccc1-418c-a81a-4ab664c0dbe5,c72c1edc-ccc1-418c-a81a-4ab664c0dbe5,2019-11-22T15:51:08,,
RufisqueEstArafat3KippBi,2019-11-22T12:07:00.000Z,14.720493333333332 -17.26034333333333 -42.7 5.0,14.720493333333332,-17.26034333333333,-42.7,5.0,412,0,15,0,0,15,0,0,0,15,0,15,0,14,1,0,0,0,10,1,1,3,0,13,1,0,1,0,1,13,1,5,5,1,0,0,1,9,5,0,0,13,2,0,3,3,8,1,0,15,0,0,15,0,0,0,15,0,0,0,13,2,0,0,0,15,14,1,0,0,0,11,0,1,3,0,15,0,0,0,0,12,2,1,0,0,9,1,5,0,0,11,3,1,0,0,0,15,"Dépassement de capacité des toilettes dans les foyers, nécessité de construire une passerelle,  connexion illégale sur le réseau d'égout public. ","AMD,  AMB, AD, TD et ST. ",uuid:7de61e96-465f-4926-9ca0-3bc1f0d9a70e,7de61e96-465f-4926-9ca0-3bc1f0d9a70e,2019-11-22T15:51:09,,
RufisqueEstArafat3B,2019-11-25T10:24:00.000Z,14.723899999999999 -17.258546666666668 80.8 4.8,14.723899999999999,-17.258546666666668,80.8,4.8,412,0,15,1,15,0,0,0,0,15,0,15,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,3,12,0,15,0,0,0,0,9,4,2,0,0,15,0,0,10,0,4,1,0,15,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,11,0,3,1,0,9,3,2,1,0,15,0,0,0,0,15,0,"Absence d'assainissement dans le quartier, fosses toujours remplies,  Besoin de grilles avaloirs,  d'égouts,  de canalisations pour évacuer les eaux. ","AMD, AMB, AD, ST et TD. ",uuid:f0a8e1cf-105a-4fb2-8c47-0c0fd89d1c48,f0a8e1cf-105a-4fb2-8c47-0c0fd89d1c48,2019-11-25T11:11:10,,
RufisqueEstArafat3B,2019-11-25T11:22:00.000Z,14.723816666666668 -17.258581666666664 1.6 4.9,14.723816666666668,-17.258581666666664,1.6,4.9,412,0,15,0,0,15,0,0,0,15,0,15,0,10,3,1,0,1,9,3,1,1,1,13,2,0,0,0,1,14,0,6,7,0,0,2,0,7,7,0,1,15,0,0,3,0,10,2,0,14,1,0,13,1,1,0,11,2,1,1,11,2,0,2,0,15,10,2,2,0,1,9,4,1,0,1,15,0,0,0,0,6,8,0,0,1,4,6,3,1,1,2,7,3,2,1,0,15,"Dépôts sauvages d'ordures dans le quartier,  Nécessité de traiter les eaux usées,  de faire des prélèvements périodiques de l'eau potable pour analyse. ","AMD, AMB,  AD,  TD et ST. ",uuid:f1766ac1-8585-4a55-b5b3-ceb0d2e8cffe,f1766ac1-8585-4a55-b5b3-ceb0d2e8cffe,2019-11-25T13:17:39,,
Sicap Liberté 1,2019-11-26T11:45:00.000Z,14.713458333333332 -17.458113333333333 -13.1 5.0,14.713458333333332,-17.458113333333333,-13.1,5.0,413,0,15,0,0,15,0,0,0,0,15,15,0,2,0,4,9,0,0,0,4,11,0,14,0,0,1,0,1,12,2,12,1,2,0,0,4,1,10,0,0,13,0,2,3,1,7,4,0,15,0,0,13,2,0,0,13,2,0,0,10,5,0,0,0,15,1,0,3,10,1,0,0,5,10,0,15,0,0,0,0,12,1,2,0,0,3,1,8,1,2,3,1,6,3,2,0,15,"Terme de référence exigée avant de signer le consentement, demande qu on ajoute la gestion des déchets dans le programme du projet ","AMD, AMB, AD, TD ",uuid:6a8f54d1-58da-448b-b335-1931c39f333d,6a8f54d1-58da-448b-b335-1931c39f333d,2019-11-26T13:59:26,,
Sicap Liberté 1,2019-11-26T10:05:00.000Z,14.713366666666666 -17.458051666666666 -10.2 4.8,14.713366666666666,-17.458051666666666,-10.2,4.8,413,0,15,1,15,0,0,0,0,0,15,15,0,0,0,0,10,5,0,0,0,9,6,11,0,0,1,3,2,10,3,7,2,2,1,3,1,1,7,3,3,11,0,4,0,0,4,9,2,12,0,3,12,0,2,1,12,0,3,0,2,10,3,0,15,0,0,0,0,9,6,0,0,0,9,6,11,0,0,0,4,5,2,3,0,5,2,2,5,3,3,1,0,4,5,5,15,0,"Gestion des déchets, assainir les espaces publics, éclairage public, défaut de débordement des égouts pendant l hivernage, surcapacités et vieillissement des réseaux d assainissement ","AMD,  AMB, AD, TD",uuid:4b8d4046-9318-4d72-890b-40d4d0e23c12,4b8d4046-9318-4d72-890b-40d4d0e23c12,2019-11-26T13:59:57,,
Liberté. 2,2019-11-27T10:01:00.000Z,14.713633333333332 -17.458233333333332 98.5 4.6,14.713633333333332,-17.458233333333332,98.5,4.6,413,0,15,1,15,0,0,0,0,0,15,15,0,0,2,0,11,2,1,0,0,14,0,15,0,0,0,0,0,15,0,14,0,0,0,1,13,1,1,0,0,15,0,0,7,4,1,2,1,15,0,0,15,0,0,0,15,0,0,0,0,15,0,0,15,0,0,0,0,15,0,0,0,0,15,0,15,0,0,0,0,14,1,0,0,0,10,4,0,0,1,8,5,2,0,0,15,0,la surcapacité et le Vieillissement du réseau d assainissement qui bouche tout le temps . revoir le réseau de la sicap. renforcer la capacité des communautés sur l éducation environnementale  ,AM D. A MB. A D. T D,uuid:d4153f83-917b-4dbf-ba5a-7077b2edf037,d4153f83-917b-4dbf-ba5a-7077b2edf037,2019-11-27T13:12:07,,
Liberté 2,2019-11-27T11:13:00.000Z,14.713486666666665 -17.45806 23.9 4.8,14.713486666666665,-17.45806,23.9,4.8,413,0,15,0,0,15,0,0,0,0,15,15,0,0,1,2,10,2,0,0,2,12,1,12,0,1,1,1,3,11,1,10,4,1,0,0,1,9,4,1,0,15,0,0,2,3,6,4,0,15,0,0,15,0,0,0,15,0,0,0,1,14,0,0,0,15,0,0,1,14,0,0,0,0,15,0,12,1,0,2,0,8,6,1,0,0,0,5,8,2,0,1,2,7,5,0,0,15,"le surpeuplement de la sicap, les égouts sont souvent bouchés, le problème des ordures ménagères. La réhabilitation des espaces publics revoir le réseau de la sicap, augmenter l éclairage public. ",AM D.  A MB.  A D.  T D. ,uuid:abe5f5c0-897a-4b46-9718-32176cbd3146,abe5f5c0-897a-4b46-9718-32176cbd3146,2019-11-27T13:12:08,,
