"deviceid","s_school","s_start","s_coordinates","X_s_coordinates_latitude","X_s_coordinates_longitude","X_s_coordinates_altitude","X_s_coordinates_precision","s_neighborhood","s_1_note","s_rainweek","s_participant_num","s_participant_gender","s_participant_female_obs","s_participant_male_obs","s_participant_female","s_participant_male","s_neighborhood_y","s_neighborhood_n","s_s_c","s_s_c_note","s_s_c_note_2","s_s_c_3","s_s_c_2","s_s_c_1","s_s_c_0","s_s_c_na","s_s_a","s_s_a_note","s_s_a_note_2","s_s_a_3","s_s_a_2","s_s_a_1","s_s_a_0","s_s_a_na","s_d_c","s_d_c_note","s_d_c_note_2","s_d_c_3","s_d_c_2","s_d_c_1","s_d_c_0","s_d_c_na","s_d_a","s_d_a_note","s_d_a_note_2","s_d_a_3","s_d_a_2","s_d_a_1","s_d_a_0","s_d_a_na","s_f_c","s_f_c_note","s_f_c_note_2","s_f_c_3","s_f_c_2","s_f_c_1","s_f_c_0","s_f_c_na","s_f_a","s_f_a_note","s_f_a_note_2","s_f_a_3","s_f_a_2","s_f_a_1","s_f_a_0","s_f_a_na","s_dw_c","s_dw_c_note","s_dw_c_note_2","s_dw_c_3","s_dw_c_2","s_dw_c_1","s_dw_c_0","s_dw_c_na","s_dw_a","s_dw_a_note","s_dw_a_note_2","s_dw_a_3","s_dw_a_2","s_dw_a_1","s_dw_a_0","s_dw_a_na","s_dw_e_wt","s_dw_e_wt_note","s_dw_e_wt_note_2","s_dw_e_wt_1","s_dw_e_wt_0","s_dw_e_wt_na","s_o_c","s_o_c_note","s_o_c_note_2","s_o_c_3","s_o_c_2","s_o_c_1","s_o_c_0","s_o_c_na","s_o_a","s_o_a_note","s_o_a_note_2","s_o_a_3","s_o_a_2","s_o_a_1","s_o_a_0","s_o_a_na","s_bw_c","s_bw_c_note","s_bw_c_note_2","s_bw_c_3","s_bw_c_2","s_bw_c_1","s_bw_c_0","s_bw_c_na","s_bw_a","s_bw_a_note","s_bw_a_note_2","s_bw_a_3","s_bw_a_2","s_bw_a_1","s_bw_a_0","s_bw_a_na","s_p_c","s_p_c_note","s_p_c_note_2","s_p_c_3","s_p_c_2","s_p_c_1","s_p_c_0","s_p_c_na","s_p_a","s_p_a_note","s_p_a_note_2","s_p_a_3","s_p_a_2","s_p_a_1","s_p_a_0","s_p_a_na","s_p_e_note","s_p_e_note_2","s_p_e_2","s_p_e_1","s_p_e_na","s_sf_c","s_sf_c_note","s_sf_c_note_2","s_sf_c_3","s_sf_c_2","s_sf_c_1","s_sf_c_0","s_sf_c_na","s_sf_a","s_sf_a_note","s_sf_a_note_2","s_sf_a_3","s_sf_a_2","s_sf_a_1","s_sf_a_0","s_sf_a_na","s_l_c","s_l_c_note","s_l_c_note_2","s_l_c_3","s_l_c_2","s_l_c_1","s_l_c_0","s_l_c_na","s_l_a","s_l_a_note","s_l_a_note_2","s_l_a_3","s_l_a_2","s_l_a_1","s_l_a_0","s_l_a_na","s_pl_a_th","s_pl_a_th_note","s_pl_a_th_note_2","s_pl_a_th_1","s_pl_a_th_0","s_pl_a_th_na","s_pl_a_tu_note","s_pl_a_tu_1","s_pl_a_tu_0","s_pl_a_tu_na","s_pl_a_tu_nl","s_pl_a_tw_note","s_pl_a_tw_note_2","s_pl_a_tw_1","s_pl_a_tw_0","s_pl_a_tw_na","s_pl_a_tw_nl","s_pl_a_tf_note","s_pl_a_tf_note_2","s_pl_a_tf_1","s_pl_a_tf_0","s_pl_a_tf_na","s_pl_a_tf_nl","s_end","s_participant_female_obs_end","s_participant_male_obs_end","s_notes","s_enum","X__version__","X_id","X_uuid","X_submission_time","X_index","s_odw_a","s_odw_a_note","s_odw_a_3","s_odw_a_2","s_odw_a_1","s_odw_a_0","s_odw_a_na","s_odw_a_other","s_odw_c","s_odw_c_note","s_odw_c_3","s_odw_c_2","s_odw_c_1","s_odw_c_0","s_odw_c_na","s_odw_c_other","s_odw2_a","s_odw2_a_note","s_odw2_a_3","s_odw2_a_2","s_odw2_a_1","s_odw2_a_0","s_odw2_a_na","s_odw2_a_other","s_odw2_c","s_odw2_c_note","s_odw2_c_3","s_odw2_c_2","s_odw2_c_1","s_odw2_c_0","s_odw2_c_na","s_odw2_c_other","s_extra_data","dply_num","s_f_weekly","s_UID","s_id","s_date","neighb_UID","city.x","citylabel","city.y"
,"École Thierno Salif  Ndongo/B","2019-11-21T10:20:00.000Z","14.770703333333332 -17.37874 51.8 4.8",14.7707033333333,-17.37874,51.8,4.8,3,,0,15,1,15,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,0,0,2,11,2,,,,0,0,1,1,13,,,,2,0,3,0,10,,,,1,1,4,0,9,,,,14,1,0,0,0,,,,13,1,1,0,0,,,,7,8,0,,,,,,,,,,,,,,,,,,,,6,4,2,0,3,,,,3,4,0,0,8,,,,0,0,2,9,4,,,,1,1,3,2,8,,,13,0,2,,,,3,4,3,0,5,,,,0,3,2,0,10,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,11,4,0,0,,15,0,"","Fatou Bintou, Ndeye,Zahra",,,"b0a7d772-1b38-4a64-b24e-a900db6d4b45","2019-11-21T13:19:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1010",1010,"2019-11-21",1203,"Dakar","Dakar 19","Dakar"
,"École 27","2019-11-21T11:52:00.000Z","14.762203333333332 -17.382614999999998 35.3 4.6",14.7622033333333,-17.382615,35.3,4.6,3,,0,15,0,0,15,0,15,15,0,,,,,,,,,,,,,,,,,,,,6,2,0,7,0,,,,2,2,3,7,1,,,,3,2,4,3,3,,,,2,2,4,2,5,,,,15,0,0,0,0,,,,9,1,0,0,5,,,,2,10,3,,,,,,,,,,,,,,,,,,,,9,4,2,0,0,,,,8,1,2,0,4,,,,0,0,4,8,3,,,,0,0,1,7,7,,,8,7,0,,,,4,1,3,7,0,,,,4,1,3,1,6,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,12,2,1,0,,0,15,"","Fatou Bintou, Ndeye,Zahra",,,"6a342aed-ec84-4add-a537-c62fe6b6f0ba","2019-11-21T13:19:47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1011",1011,"2019-11-21",1203,"Dakar","Dakar 19","Dakar"
,"École Thiawlene Bout ","2019-11-22T10:20:00.000Z","14.721213333333333 -17.258426666666665 10.4 4.7",14.7212133333333,-17.2584266666667,10.4,4.7,4,,0,15,1,15,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,,,,1,1,0,10,3,,,,2,2,6,5,0,,,,2,5,1,4,3,,,,15,0,0,0,0,,,,15,0,0,0,0,,,,3,12,0,,,,,,,,,,,,,,,,,,,,12,3,0,0,0,,,,7,2,2,0,4,,,,0,0,3,10,2,,,,1,0,0,14,0,,,15,0,0,,,,4,6,4,0,1,,,,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,3,10,2,0,,15,0,"","Ndeye, Fatou Bintou, Aidara,Zahra",,,"90991633-a328-4b12-92e6-35fa6dd5a075","2019-11-22T15:50:19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1012",1012,"2019-11-22",1204,"Dakar","Dakar 19","Dakar"
,"École Camp Marchand","2019-11-22T11:45:00.000Z","14.721818333333333 -17.25741 76.5 4.9",14.7218183333333,-17.25741,76.5,4.9,4,,0,15,0,0,15,0,15,15,0,,,,,,,,,,,,,,,,,,,,2,0,4,9,0,,,,0,0,0,14,1,,,,6,0,2,7,0,,,,0,0,1,11,3,,,,15,0,0,0,0,,,,15,0,0,0,0,,,,1,14,0,,,,,,,,,,,,,,,,,,,,5,6,3,0,1,,,,6,4,2,0,3,,,,0,0,1,14,0,,,,0,1,1,9,4,,,15,0,0,,,,6,2,7,0,0,,,,2,2,2,6,3,,,,,,,,,,,,,,,,,,,,15,0,0,,14,1,0,0,,,15,0,0,0,,,5,9,1,0,,0,15,"","Ndeye,Fatou Bintou, Zahra, Aidara",,,"1c984cbc-f3d8-47f5-bf99-49774378f750","2019-11-22T15:50:21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1013",1013,"2019-11-22",1204,"Dakar","Dakar 19","Dakar"
,"Thiawlene Bout","2019-11-25T10:20:00.000Z","14.721681666666665 -17.258166666666668 63.2 4.6",14.7216816666667,-17.2581666666667,63.2,4.6,4,,0,15,0,0,15,0,15,15,0,,,,,,,,,,,,,,,,,,,,1,1,3,10,0,,,,0,1,0,6,8,,,,3,0,2,2,8,,,,0,1,1,0,13,,,,15,0,0,0,0,,,,15,0,0,0,0,,,,5,9,1,,,,,,,,,,,,,,,,,,,,3,7,3,0,2,,,,4,2,0,0,9,,,,2,0,4,2,7,,,,1,0,2,0,12,,,15,0,0,,,,5,4,5,0,1,,,,3,1,3,0,8,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,9,5,1,0,,0,15,"","Ndeye, Fatou Bintou, Zahra",,,"051eb9b9-0389-4b8e-bfbf-c49278605261","2019-11-25T13:23:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1014",1014,"2019-11-25",1204,"Dakar","Dakar 19","Dakar"
,"Camp Marchand","2019-11-25T11:40:00.000Z","14.721981666666666 -17.257353333333334 34.0 5.0",14.7219816666667,-17.2573533333333,34,5,4,,0,15,1,15,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,4,1,1,6,3,,,,3,1,0,10,1,,,,4,2,3,2,4,,,,2,3,1,3,6,,,,14,0,0,0,1,,,,13,1,0,1,0,,,,2,9,4,,,,,,,,,,,,,,,,,,,,3,5,3,0,4,,,,6,2,1,0,6,,,,2,3,3,6,1,,,,2,3,2,0,8,,,15,0,0,,,,5,0,4,1,5,,,,2,1,2,2,8,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,8,7,0,0,,15,0,"","Ndeye,Fatou Bintou, Zahra",,,"6b5eed7e-6366-4484-899a-bfbe188d0e53","2019-11-25T13:23:09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1015",1015,"2019-11-25",1204,"Dakar","Dakar 19","Dakar"
,"El hadj Souleymane Wade","2019-11-26T09:55:00.000Z","14.720146666666668 -17.461713333333332 76.1 4.3",14.7201466666667,-17.4617133333333,76.1,4.3,5,,0,15,1,15,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,0,1,2,8,4,,,,0,0,1,8,6,,,,3,1,5,3,3,,,,0,0,4,7,4,,,,12,2,1,0,0,,,,10,2,2,1,0,,,,13,2,0,,,,,,,,,,,,,,,,,,,,12,2,0,0,1,,,,10,3,0,0,2,,,,0,0,6,7,2,,,,0,1,8,3,3,,,15,0,0,,,,1,6,7,1,0,,,,1,2,1,4,7,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,1,12,2,0,,15,0,"","Ndeye, Fatou Bintou, Zahra",,,"80f92809-2d9e-4d77-984d-8dea0c943bb9","2019-11-26T14:06:39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1016",1016,"2019-11-26",1205,"Dakar","Dakar 19","Dakar"
,"Liberté 1","2019-11-26T11:44:00.000Z","14.717441666666666 -17.45776 -13.2 5.0",14.7174416666667,-17.45776,-13.2,5,5,,0,15,0,0,15,0,15,15,0,,,,,,,,,,,,,,,,,,,,2,1,2,9,1,,,,0,2,0,11,2,,,,2,2,6,4,1,,,,1,2,5,5,2,,,,15,0,0,0,0,,,,15,0,0,0,0,,,,5,8,2,,,,,,,,,,,,,,,,,,,,10,3,2,0,0,,,,10,2,2,0,1,,,,0,2,6,7,0,,,,1,4,7,2,1,,,15,0,0,,,,5,2,7,1,0,,,,2,1,6,5,1,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,2,10,3,0,,0,15,"","Ndeye, Fatou Bintou, Zahra",,,"6d42e8c1-c160-4721-83e2-05ba37f835e6","2019-11-26T14:06:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1017",1017,"2019-11-26",1205,"Dakar","Dakar 19","Dakar"
,"El hadj Souleymane Wade","2019-11-27T09:46:00.000Z","14.719925 -17.461748333333333 21.4 4.3",14.719925,-17.4617483333333,21.4,4.3,5,,0,15,0,0,15,0,15,15,0,,,,,,,,,,,,,,,,,,,,0,0,4,10,1,,,,0,0,0,10,5,,,,2,1,8,1,3,,,,1,1,5,2,6,,,,11,2,1,0,1,,,,6,0,0,3,6,,,,4,3,8,,,,,,,,,,,,,,,,,,,,10,3,1,0,1,,,,5,1,1,0,8,,,,0,2,1,8,4,,,,2,1,4,3,5,,,15,0,0,,,,5,3,4,0,3,,,,1,0,1,2,11,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,4,10,1,0,,0,15,"","Ndeye,Fatou Bintou, Zahra",,,"a4610c9e-9f93-45e2-a173-148c3c4067c7","2019-11-27T13:02:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1018",1018,"2019-11-27",1205,"Dakar","Dakar 19","Dakar"
,"Liberté 1","2019-11-27T11:13:00.000Z","14.717270000000001 -17.457614999999997 84.2 3.7",14.71727,-17.457615,84.2,3.7,5,,0,15,1,15,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,1,0,2,12,0,,,,0,0,0,12,3,,,,2,0,3,7,3,,,,0,1,2,4,8,,,,14,0,0,0,1,,,,6,0,3,4,2,,,,7,7,1,,,,,,,,,,,,,,,,,,,,7,4,1,0,3,,,,7,3,1,0,4,,,,1,1,5,6,2,,,,3,1,4,2,5,,,15,0,0,,,,0,0,8,3,4,,,,1,1,2,2,9,,,,,,,,,,,,,,,,,,,,15,0,0,,15,0,0,0,,,15,0,0,0,,,2,11,2,0,,15,0,"","Ndeye, Fatou Bintou, Zahra",,,"f6fd5374-735c-4132-8c74-3f75e52357eb","2019-11-27T13:02:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,"12_1019",1019,"2019-11-27",1205,"Dakar","Dakar 19","Dakar"
